"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"853",853,"KIC 7917485","b","Pulsation Timing Variations",1,840,NA,0.15,NA,0,1,0,"19h57m44.30s",299.434592,"+43d37m57.4s",43.632622,NA,7067,1.63,NA,"16/8/18","KIC 7917485 b",NA,NA,NA,"Msini",11.8,3750.394,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160802945M target=ref>Murphy et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160802945M target=ref>Murphy et al. 2016</a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.96230613,78.527116,7.52076,319.493243,62.108038,NA,NA,2,"A",NA
"3271",3271,"V0391 Peg","b","Pulsation Timing Variations",1,1170,1.7,0,NA,0,0,0,"22h04m12.11s",331.05044,"+26d25m07.9s",26.41886,1400,29300,0.5,0.23,"15/5/14","V0391 Peg b",NA,NA,NA,"Msini",3.2,1017.056,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2007Natur.449..189S target=ref> Silvotti et al. 2007 </a>",2007,"<a href=http://adsabs.harvard.edu/abs/2007Natur.449..189S target=ref> Silvotti et al. 2007 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",22.07002933,82.485828,-23.029833,344.268963,35.496081,NA,NA,NA,"sdBV",10
