"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"3185",3185,"MOA 2010-BLG-477L","b","Microlensing",1,NA,2,NA,NA,0,0,0,"18h06m07.44s",271.531006,"-31d27m16.1s",-31.454477,2300,5950,0.67,NA,"14/10/29","MOA 2010-BLG-477L b",NA,NA,NA,"Mass",1.5,476.7,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...754...73B target=ref> Bachelet et al. 2012 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...754...73B target=ref> Bachelet et al. 2012 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.10206706,0.045935,-5.094955,271.318899,-8.022195,NA,NA,NA,"",NA
"3186",3186,"MOA 2011-BLG-028L","b","Microlensing",1,NA,4.14,NA,NA,0,0,0,"18h03m24.96s",270.854,"-29d12m48.3s",-29.213417,7380,NA,0.75,NA,"16/3/24","MOA 2011-BLG-028L b",NA,NA,NA,"Mass",0.09439,30,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016ApJ...820....4S target=ref>Skowron et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016ApJ...820....4S target=ref>Skowron et al. 2016</a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.05693333,1.725752,-3.495602,270.749176,-5.776346,NA,NA,NA,"",NA
"3187",3187,"MOA 2011-BLG-262L","b","Microlensing",1,NA,0.84,NA,NA,0,0,0,"18h00m23.48s",270.097833,"-31d14m42.9s",-31.245258,7000,NA,0.12,NA,"15/6/4","MOA 2011-BLG-262L b",NA,NA,NA,"Mass",0.05663,18,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...785..155B target=ref>Bennett et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...785..155B target=ref>Bennett et al. 2014</a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.00652222,359.630583,-3.924346,270.084425,-7.805996,NA,NA,NA,"",NA
"3188",3188,"MOA 2011-BLG-293L","b","Microlensing",1,NA,1.1,NA,NA,0,0,0,"17h55m39.35s",268.913958,"-28d28m36.6s",-28.476847,7720,NA,0.86,NA,"14/5/14","MOA 2011-BLG-293L b",NA,NA,NA,"Mass",4.8,1525.5,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780...54B target=ref> Batista et al. 2014 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...755..102Y target=ref> Yee et al. 2012 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.92759722,1.521595,-1.654804,269.041664,-5.041169,NA,NA,NA,"",NA
"3189",3189,"MOA 2011-BLG-322L","b","Microlensing",1,NA,4.3,NA,NA,0,0,0,"18h04m53.60s",271.223333,"-27d13m15.4s",-27.220944,7560,NA,0.39,NA,"14/5/14","MOA 2011-BLG-322L b",NA,NA,NA,"Mass",11.6,3686.7,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014MNRAS.439..604S target=ref> Shvartzvald et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014MNRAS.439..604S target=ref> Shvartzvald et al. 2014 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",18.08155556,3.625988,-2.805737,271.090211,-3.786283,NA,NA,NA,"",NA
"3190",3190,"MOA 2013-BLG-605L","b","Microlensing",1,NA,0.94,NA,NA,0,0,0,"17h58m42.85s",269.678542,"-29d23m53.7s",-29.398239,NA,NA,0.03,NA,"16/5/19","MOA 2013-BLG-605L b",NA,NA,NA,"Mass",0.01007,3.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015arXiv151200134S target=ref>Sumi et al. 2015</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2015arXiv151200134S target=ref>Sumi et al. 2015</a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.97856944,1.058336,-2.695177,269.718415,-5.959262,NA,NA,NA,"",NA
"3191",3191,"MOA-bin-1L","b","Microlensing",1,NA,8.3,NA,NA,0,0,0,"17h27m10.20s",261.7925,"-29d47m38.3s",-29.793972,5100,NA,0.75,NA,"14/5/14","MOA-bin-1L b",NA,NA,NA,"Mass",3.7,1175.9,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...757..119B target=ref> Bennett et al. 2012 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...757..119B target=ref> Bennett et al. 2012 </a>","Ground","MOA","1.8 m MOA Telescope","MOA CCD Array",17.45283333,357.113009,2.926684,262.836311,-6.558553,NA,NA,NA,"",NA
"3200",3200,"OGLE 2003-BLG-235L","b","Microlensing",1,NA,4.3,NA,NA,0,0,0,"18h05m16.35s",271.318125,"-28d53m42.0s",-28.895,5800,NA,0.63,NA,"16/2/25","OGLE 2003-BLG-235L b",NA,NA,NA,"Mass",2.6,826.358,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...647L.171B target=ref>Bennett et al. 2006</a>",2004,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004ApJ...606L.155B target=ref> Bond et al. 2004 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",18.087875,2.202553,-3.694478,271.159266,-5.461013,NA,NA,5,"K V",NA
"3201",3201,"OGLE 2005-BLG-169L","b","Microlensing",1,NA,3.5,NA,NA,0,0,0,"18h06m05.32s",271.522167,"-30d43m57.5s",-30.732639,4100,NA,0.69,NA,"15/11/19","OGLE 2005-BLG-169L b",NA,NA,NA,"Mass",0.04436,14.1,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...808..169B target=ref>Bennett et al. 2015</a>",2006,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...644L..37G target=ref> Gould et al. 2006 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",18.10147778,0.676832,-4.739985,271.31904,-7.300317,NA,NA,5.5,"K5",NA
"3202",3202,"OGLE 2005-BLG-390L","b","Microlensing",1,3285,2.6,NA,NA,0,0,0,"17h54m19.19s",268.579958,"-30d22m38.3s",-30.377306,6600,NA,0.22,NA,"14/10/29","OGLE 2005-BLG-390L b",NA,50,NA,"Mass",0.017,5.5,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006Natur.439..437B target=ref> Beaulieu et al. 2006 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006Natur.439..437B target=ref> Beaulieu et al. 2006 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.90533056,359.732499,-2.361536,268.765886,-6.944098,NA,NA,NA,"",NA
"3203",3203,"OGLE 2005-BLG-71L","b","Microlensing",1,NA,3.6,NA,NA,0,0,0,"17h50m09.77s",267.540708,"-34d40m23.5s",-34.673194,3200,NA,0.46,NA,"14/10/29","OGLE 2005-BLG-71L b",NA,55,NA,"Mass",3.8,1207.7,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...695..970D target=ref>Dong et al. 2009</a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005ApJ...628L.109U target=ref> Udalski et al. 2005 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.83604722,355.580141,-3.786345,267.938008,-11.251505,NA,NA,NA,"",NA
"3204",3204,"OGLE 2006-BLG-109L","b","Microlensing",2,1788.5,2.3,NA,NA,0,0,0,"17h52m34.51s",268.143792,"-30d05m16.0s",-30.087778,1510,NA,0.51,NA,"14/11/5","OGLE 2006-BLG-109L b",17.4,NA,NA,"Mass",0.73,231,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...713..837B target=ref>Bennett et al. 2010</a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008Sci...319..927G target=ref> Gaudi et al. 2008 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.87625278,359.791319,-1.889969,268.383066,-6.658905,NA,NA,NA,"",NA
"3205",3205,"OGLE 2006-BLG-109L","c","Microlensing",2,4927.5,4.5,0.15,64,0,0,0,"17h52m34.51s",268.143792,"-30d05m16.0s",-30.087778,1510,NA,0.51,NA,"14/11/5","OGLE 2006-BLG-109L c",4.5,NA,NA,"Mass",0.27,86,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...713..837B target=ref>Bennett et al. 2010</a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008Sci...319..927G target=ref> Gaudi et al. 2008 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.87625278,359.791319,-1.889969,268.383066,-6.658905,NA,NA,NA,"",NA
"3206",3206,"OGLE 2007-BLG-349L A","c","Microlensing",1,2557,2.59,NA,NA,0,0,0,"18h05m24.43s",271.351807,"-26d25m19.0s",-26.421944,2760,NA,0.41,NA,"16/9/29","OGLE 2007-BLG-349L AB c",NA,NA,NA,"Mass",0.25171,80,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160906720B target=ref>Bennett et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160906720B target=ref>Bennett et al. 2016</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",18.09012044,4.380152,-2.515891,271.212225,-2.988341,NA,NA,6,"M",NA
"3207",3207,"OGLE 2007-BLG-368L","b","Microlensing",1,NA,3.3,NA,NA,0,0,0,"17h56m25.96s",269.108167,"-32d14m14.7s",-32.237417,5900,NA,0.64,NA,"14/11/5","OGLE 2007-BLG-368L b",NA,NA,NA,"Mass",0.06,20,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...710.1641S target=ref> Sumi et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...710.1641S target=ref> Sumi et al. 2010 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.94054445,358.348728,-3.686006,269.236658,-8.800487,NA,NA,NA,"",NA
"3208",3208,"OGLE 2008-BLG-355L","b","Microlensing",1,NA,1.7,NA,NA,0,0,0,"17h59m08.81s",269.786708,"-30d45m34.1s",-30.759472,6800,NA,0.37,NA,"14/6/11","OGLE 2008-BLG-355L b",NA,NA,NA,"Mass",4.6,1462,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...788..128K target=ref> Koshimoto et al. 2014 </a>",2014,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...788..128K target=ref> Koshimoto et al. 2014 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.98578056,359.921637,-3.452388,269.815208,-7.320318,NA,NA,NA,"",NA
"3209",3209,"OGLE 2008-BLG-92L","b","Microlensing",1,NA,18,NA,NA,0,0,0,"17h47m29.42s",266.872583,"-34d43m35.6s",-34.726556,8100,NA,0.71,NA,"14/10/29","OGLE 2008-BLG-92L b",NA,NA,NA,"Mass",0.18,56.6,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795...42P target=ref>Poleski et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795...42P target=ref>Poleski et al. 2014</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.79150556,355.252132,-3.342047,267.37907,-11.315713,NA,NA,NA,"",NA
"3210",3210,"OGLE 2011-BLG-251L","b","Microlensing",1,NA,2.72,NA,NA,0,0,0,"17h38m14.18s",264.559083,"-27d08m10.1s",-27.136139,2570,NA,0.26,NA,"14/5/14","OGLE 2011-BLG-251L b",NA,NA,NA,"Mass",0.53,168.44,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...552A..70K target=ref> Kains et al. 2013 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...552A..70K target=ref> Kains et al. 2013 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.63727222,0.669993,2.333649,265.148883,-3.788425,NA,NA,6,"M",NA
"3211",3211,"OGLE 2011-BLG-265L","b","Microlensing",1,NA,1.89,NA,NA,0,0,0,"17h57m47.72s",269.448833,"-27d23m40.3s",-27.394528,4380,NA,0.21,NA,"15/3/5","OGLE 2011-BLG-265L b",NA,NA,NA,"Mass",0.88,279.68,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804...33S target=ref>Skowron et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804...33S target=ref>Skowron et al. 2015</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.96325556,2.695381,-1.520655,269.509474,-3.956175,NA,NA,NA,"",NA
"3212",3212,"OGLE 2012-BLG-0563L","b","Microlensing",1,NA,0.9,NA,NA,0,0,0,"18h05m57.72s",271.4905,"-27d42m43.2s",-27.712,1300,NA,0.34,NA,"15/8/13","OGLE 2012-BLG-0563L b",NA,NA,NA,"Mass",0.39,123,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv150608850F target=ref>Fukui et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv150608850F target=ref>Fukui et al. 2015</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",18.09936667,3.312164,-3.251965,271.323192,-4.279555,NA,NA,NA,"",NA
"3213",3213,"OGLE 2012-BLG-0724L","b","Microlensing",1,NA,1.6,NA,NA,0,0,0,"17h55m52.39s",268.968292,"-29d49m06.7s",-29.818528,6700,NA,0.29,NA,"16/4/28","OGLE 2012-BLG-0724L b",NA,NA,NA,"Mass",0.47,149.3801,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160405463H target=ref>Hirao et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160405463H target=ref>Hirao et al. 2016</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.93121944,0.385001,-2.370432,269.099314,-6.382462,NA,NA,6,"M V",NA
"3214",3214,"OGLE 2012-BLG-26L","b","Microlensing",2,NA,4,NA,NA,0,0,0,"17h34m18.70s",263.577917,"-27d08m33.9s",-27.14275,4019,NA,1.06,NA,"16/7/7","OGLE 2012-BLG-26L b",NA,NA,NA,"Mass",0.145,46.08535,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016ApJ...824...83B target=ref>Beaulieu et al. 2016</a>",2012,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...762L..28H target=ref> Han et al. 2013 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.57186111,0.19488,3.066576,264.274828,-3.831,NA,NA,4.5,"G5 V",5
"3215",3215,"OGLE 2012-BLG-26L","c","Microlensing",2,NA,4.8,NA,NA,0,0,0,"17h34m18.70s",263.577917,"-27d08m33.9s",-27.14275,4019,NA,1.06,NA,"16/7/7","OGLE 2012-BLG-26L c",NA,NA,NA,"Mass",0.86,273.3338,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016ApJ...824...83B target=ref>Beaulieu et al. 2016</a>",2012,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...762L..28H target=ref> Han et al. 2013 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.57186111,0.19488,3.066576,264.274828,-3.831,NA,NA,4.5,"G5 V",5
"3216",3216,"OGLE 2012-BLG-358L","b","Microlensing",1,NA,0.87,NA,NA,0,0,0,"17h42m46.77s",265.694875,"-24d15m39.6s",-24.261,1760,NA,0.02,NA,"14/5/14","OGLE 2012-BLG-358L b",NA,NA,NA,"Mass",1.85,587.96,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...778...38H target=ref> Han et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...778...38H target=ref> Han et al. 2013 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.71299167,3.654448,2.986188,266.075251,-0.880342,NA,NA,NA,"",NA
"3217",3217,"OGLE 2012-BLG-406L","b","Microlensing",1,NA,3.45,NA,NA,0,0,0,"17h53m18.17s",268.325708,"-30d28m16.2s",-30.471167,4970,NA,0.44,NA,"14/5/14","OGLE 2012-BLG-406L b",NA,NA,NA,"Mass",2.73,867.64,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...782...48T target=ref> Tsapras et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...782...47P target=ref> Poleski et al. 2014 </a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.88838053,359.540497,-2.21987,268.546042,-7.040325,NA,NA,NA,"",NA
"3218",3218,"OGLE 2013-BLG-102L","b","Microlensing",1,NA,0.8,NA,NA,0,0,0,"17h52m07.08s",268.0295,"-31d41m26.1s",-31.690583,3040,NA,0.1,NA,"15/1/29","OGLE 2013-BLG-102L b",NA,NA,NA,"Mass",12.569,3994.486,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...798..123J target=ref>Jung et al. 2015</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...798..123J target=ref>Jung et al. 2015</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.86863333,358.35995,-2.620033,268.305806,-8.26288,NA,NA,NA,"",NA
"3219",3219,"OGLE 2013-BLG-341L B","b","Microlensing",1,NA,0.883,NA,NA,0,0,0,"17h52m07.49s",268.031208,"-29d50m46.0s",-29.846111,1161,NA,0.15,NA,"14/7/9","OGLE 2013-BLG-341L B b",NA,NA,NA,"Mass",0.0073,2.32,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Sci...345...46G target=ref>Gould et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Sci...345...46G target=ref>Gould et al. 2014</a>","Ground","OGLE","1.3 m Warsaw University Telescope","OGLE CCD Array",17.86874722,359.94986,-1.683073,268.281648,-6.418563,NA,NA,NA,"",NA
