"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"718",718,"HR 8799","e","Imaging",4,18000,14.5,NA,NA,0,0,0,"23h07m28.72s",346.869659,"+21d08m03.3s",21.134251,39.4,NA,1.51,NA,"14/5/14","HR 8799 e",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010Natur.468.1080M target=ref> Marois et al. 2010 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010Natur.468.1080M target=ref> Marois et al. 2010 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",23.12464396,92.764215,-35.575078,356.787566,24.524745,NA,NA,3.02,"F0+ V ({lambda} Boo)...",NA
"3172",3172,"LkCa 15","b","Imaging",2,NA,14.7,NA,50,0,0,0,"04h39m17.80s",69.824148,"+22d21m03.5s",22.350967,NA,NA,NA,NA,"15/12/3","LkCa 15 b",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015Natur.527..342S reftitle Accreting protoplanets in the LkCa 15 transition disk target=ref>Sallum et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/abs/2015Natur.527..342S reftitle Accreting protoplanets in the LkCa 15 transition disk target=ref>Sallum et al. 2015</a>","Ground","Large Binocular Telescope Observatory","Large Binocular Telescope","LMIRCam",4.6549432,176.689699,-15.981635,71.397978,0.205164,NA,NA,NA,"",NA
"3173",3173,"LkCa 15","c","Imaging",2,NA,18.6,NA,50,0,0,0,"04h39m17.80s",69.824148,"+22d21m03.5s",22.350967,NA,NA,NA,NA,"15/12/3","LkCa 15 c",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015Natur.527..342S reftitle Accreting protoplanets in the LkCa 15 transition disk target=ref>Sallum et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/abs/2015Natur.527..342S reftitle Accreting protoplanets in the LkCa 15 transition disk target=ref>Sallum et al. 2015</a>","Ground","Large Binocular Telescope Observatory","Large Binocular Telescope","LMIRCam",4.6549432,176.689699,-15.981635,71.397978,0.205164,NA,NA,NA,"",NA
"3235",3235,"Oph 11","b","Imaging",1,7300000,243,NA,NA,0,0,0,"16h22m25.21s",245.605058,"-24d05m13.9s",-24.087208,125,2375,0.02,NA,"16/3/10","Oph 11 b",NA,2175,NA,"Mass",14,4449.62,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2007ApJ...660.1492C target=ref> Close et al. 2007 </a>",2006,"<a href=http://adsabs.harvard.edu/abs/2007ApJ...660.1492C target=ref> Close et al. 2007 </a>","Ground","Gemini Observatory","8.19 m Gemini North Telescope","NIRI Camera",16.37367053,352.678581,17.803216,247.825967,-2.506298,NA,NA,6.9,"M9",5
"3250",3250,"ROXs 12","b","Imaging",1,NA,210,NA,NA,0,0,1,"16h26m27.75s",246.615609,"-25d27m24.7s",-25.456865,120,3850,0.87,NA,"14/5/14","ROXs 12 b",NA,NA,NA,"Mass",16,5085,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...781...20K target=ref> Kraus et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...781...20K target=ref> Kraus et al. 2014 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",16.4410406,352.24976,16.206447,248.954128,-3.709982,NA,NA,6,"M0",0.008
"3251",3251,"ROXs 42 B","b","Imaging",1,NA,157,NA,NA,0,0,0,"16h31m15.02s",247.812567,"-24d32m43.7s",-24.545471,135,NA,1,NA,"14/5/14","ROXs 42 B b",NA,1975,NA,"Mass",9,2860,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...787..104C target=ref> Currie et al. 2014</a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780L..30C target=ref> Currie et al. 2014 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",16.5208378,353.70707,15.989827,249.88675,-2.642135,NA,NA,6,"M0",0.003
"3253",3253,"Ross 458","c","Imaging",1,NA,1168,NA,NA,0,0,0,"13h00m46.58s",195.194092,"+12d22m32.6s",12.375724,11.43,NA,NA,NA,"14/5/14","Ross 458 c",NA,NA,NA,"Mass",6.28536,1997.59,NA,1.22,13.675,0.125,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...725.1405B target=ref> Burgasser et al. 2010 </a>",2010,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...725.1405B target=ref> Burgasser et al. 2010 </a>","Ground","Las Campanas Observatory","6.5 m Magellan I Baade Telescope","FIRE Spectrograph",13.01293945,311.825376,75.085959,189.019366,17.365544,87.5,-11.2,6.05,"M0.5",NA
"3254",3254,"SR 12 AB","c","Imaging",1,NA,NA,NA,NA,0,0,1,"16h27m19.51s",246.8313,"-24d41m40.4s",-24.694553,NA,NA,NA,NA,"14/5/14","SR 12 AB c",NA,NA,NA,"Mass",13,4131.62,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011AJ....141..119K target=ref> Kuzuhara et al. 2011 </a>",2010,"<a href=http://adsabs.harvard.edu/abs/2011AJ....141..119K target=ref> Kuzuhara et al. 2011 </a>","Ground","Infrared Survey Facility","1.4 m IRSF Telescope","SIRIUS Camera",16.45542,352.97994,16.564992,249.027145,-2.926418,NA,NA,NA,"",NA
"3268",3268,"USco CTIO 108","b","Imaging",1,NA,670,NA,NA,0,0,0,"16h05m54.08s",241.47532,"-18d18m44.4s",-18.312332,NA,2700,0.06,NA,"15/5/14","USco CTIO 108 b",NA,NA,NA,"Mass",14,4449.62,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...673L.185B target=ref>B&eacute;jar et al. 2008</a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...673L.185B target=ref>B&eacute;jar et al. 2008</a>","Ground","Teide Observatory","4.20 m William Herschel Telescope","ACAM Auxiliary Port Camera",16.09835467,354.469767,24.538897,243.013294,2.494453,NA,NA,6.7,"M7",NA
"3273",3273,"VHS J125601.92-125723.9","b","Imaging",1,NA,102,NA,NA,0,0,0,"12h56m02.15s",194.008964,"-12d57m21.7s",-12.956031,12.7,2620,0.07,NA,"15/5/14","VHS J125601.92-125723.9 b",NA,NA,NA,"Mass",11.2,3559.696,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804...96G target=ref>Gauza et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804...96G target=ref>Gauza et al. 2015</a>","Ground","Paranal Observatory","4 m ESO Vista Telescope","VIRCAM CCD Array",12.93393093,304.671183,49.9002,197.912092,-6.422687,78.8,-1.4,6.75,"M7.5",0.225
"3398",3398,"WD 0806-661","b","Imaging",1,NA,2500,NA,NA,0,0,0,"08h06m53.74s",121.723902,"-66d18m16.7s",-66.30465,19.2,NA,0.62,NA,"14/5/14","WD 0806-661 b",NA,323,NA,"Mass",7.5,2383.6,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...744..135L target=ref> Luhman et al. 2012 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...730L...9L target=ref> Luhman et al. 2011 </a>","Space","Spitzer Space Telescope","0.85 m Spitzer Space Telescope","IRAC Infrared Array Camera",8.11492677,279.422545,-17.571577,193.471044,-77.449856,NA,NA,NA,"",1.5
"3399",3399,"WISEP J121756.91+162640.2 A","b","Imaging",1,NA,8,NA,NA,0,0,0,"12h17m56.91s",184.487125,"+16d26m40.2s",16.4445,10.1,575,0.03,0.09,"14/5/14","WISEP J121756.91+162640.2 A b",NA,450,NA,"Mass",22,6992,NA,0.934,10.468,0.096,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780...62L target=ref> Leggett et al. 2014 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...758...57L target=ref> Liu et al. 2013 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",12.29914167,265.238465,76.797372,177.37946,16.832446,99,NA,8.85,"T8.5",6
"3416",3416,"bet Pic","b","Imaging",1,7665,9.1,0.08,88.9,0,0,0,"05h47m17.09s",86.821198,"-51d03m59.4s",-51.066513,19.28,NA,1.76,NA,"15/8/13","bet Pic b",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...794..158N target=ref>Nielsen et al. 2014</a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...493L..21L target=ref> Lagrange et al. 2009 </a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",5.78807983,258.36388,-30.611632,82.543549,-74.423525,51.87,NA,2.5,"A5 V",NA
"3423",3423,"kap And","b","Imaging",1,NA,55,NA,NA,0,0,0,"23h40m24.51s",355.102112,"+44d20m02.2s",44.333931,52.03,10900,2.6,NA,"14/5/14","kap And b",NA,1900,NA,"Mass",13.616,4327.36,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014A%26A...562A.111B target=ref> Bonnefoy et al. 2014 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...763L..32C target=ref> Carson et al. 2013 </a>","Ground","Subaru Telescope","8.2 m Subaru Telescope","HiCIAO Camera",23.67347412,109.765862,-16.714333,17.298524,41.717991,19.22,NA,1.9,"B9 IV",0.03
