"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"14",14,"2MASS J19383260+4603591","b","Eclipse Timing Variations",1,416,0.92,NA,NA,0,1,0,"19h38m32.61s",294.635865,"+46d03m59.1s",46.066418,NA,NA,0.48,NA,"15/6/4","2MASS J19383260+4603591 b",NA,NA,NA,"Mass",1.9,603.877,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.642391,79.018713,11.674389,314.709288,65.725374,NA,NA,NA,"",NA
"93",93,"DP Leo","b","Eclipse Timing Variations",1,10220,8.19,0.39,NA,0,0,0,"11h17m16.00s",169.316667,"+17d57m41.1s",17.961417,NA,NA,0.69,NA,"14/5/14","DP Leo b",NA,NA,NA,"Msini",6.05,1922.79,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011A&A...526A..53B target=ref> Beuermann et al. 2011 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...708L..66Q target=ref> Qian et al. 2010 </a>","Ground","Yunnan Astronomical Observatory","2.4 m Lijiang Station Telescope","6K CCD Mosaic",11.28777778,230.897313,66.456659,163.074589,12.285517,NA,NA,NA,"",NA
"3197",3197,"NN Ser","c","Eclipse Timing Variations",2,5573.55,5.35,0.08,NA,0,0,0,"15h52m56.13s",238.233879,"+12d54m44.7s",12.912411,500,57000,0.54,NA,"14/5/14","NN Ser c",NA,NA,NA,"Mass",7.33,2329.6,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014MNRAS.437..475M target=ref> Marsh et al. 2014 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...521L..60B target=ref> Beuermann et al. 2010 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",15.8822586,23.652965,45.338906,232.611282,32.320962,NA,NA,NA,"WD",NA
"3198",3198,"NN Ser","d","Eclipse Timing Variations",2,2883.5,3.43,0.19,NA,0,0,0,"15h52m56.13s",238.233879,"+12d54m44.7s",12.912411,500,57000,0.54,NA,"14/5/14","NN Ser d",NA,NA,NA,"Mass",2.3,731,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014MNRAS.437..475M target=ref> Marsh et al. 2014 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...521L..60B target=ref> Beuermann et al. 2010 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",15.8822586,23.652965,45.338906,232.611282,32.320962,NA,NA,NA,"WD",NA
"3199",3199,"NY Vir","b","Eclipse Timing Variations",1,2985.7,NA,0.44,NA,0,0,0,"13h38m48.15s",204.700622,"-02d01m49.1s",-2.030315,NA,NA,NA,NA,"14/9/25","NY Vir b",NA,NA,NA,"Msini",2.78,883.53,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.445.2331L target=ref>Lee et al. 2014</a>",2011,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...745L..23Q target=ref> Qian et al. 2012 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",13.64670813,326.1724,58.687773,203.630736,7.67841,NA,NA,NA,"",NA
"3252",3252,"RR Cae","b","Eclipse Timing Variations",1,4343.5,5.3,0,17.6,0,0,0,"04h21m05.56s",65.273181,"-48d39m07.1s",-48.651976,NA,NA,0.44,NA,"15/8/27","RR Cae b",NA,NA,NA,"Msini",4.2,1334.886,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012MNRAS.422L..24Q target=ref> Qian et al. 2012 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2012MNRAS.422L..24Q target=ref> Qian et al. 2012 </a>","Ground","Leoncito Astronomical Complex","2.15 m Jorge Sahade Telescope","VersArray 1300B CCD Camera",4.35154539,255.70893,-44.502188,42.354515,-68.041284,NA,NA,6,"M",NA
"3269",3269,"UZ For","b","Eclipse Timing Variations",2,5840,5.9,0.04,NA,0,0,0,"03h35m28.64s",53.869338,"-25d44m21.8s",-25.739395,NA,NA,0.7,NA,"14/5/14","UZ For b",NA,NA,NA,"Mass",6.3,2002.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011MNRAS.416.2202P target=ref> Potter et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011MNRAS.416.2202P target=ref> Potter et al. 2011 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",3.5912892,220.312115,-53.414668,42.96958,-43.459363,NA,NA,NA,"",NA
"3270",3270,"UZ For","c","Eclipse Timing Variations",2,1916.25,2.8,0.05,NA,0,0,0,"03h35m28.64s",53.869338,"-25d44m21.8s",-25.739395,NA,NA,0.7,NA,"14/5/14","UZ For c",NA,NA,NA,"Mass",7.7,2447.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011MNRAS.416.2202P target=ref> Potter et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011MNRAS.416.2202P target=ref> Potter et al. 2011 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",3.5912892,220.312115,-53.414668,42.96958,-43.459363,NA,NA,NA,"",NA
