"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"287",287,"HD 11506","c","Radial Velocity",2,223.6,0.721,0.24,NA,0,0,0,"01h52m50.53s",28.210558,"-19d30m25.1s",-19.506975,51.7,6055,1.24,1.33,"14/12/3","HD 11506 c",12.5,NA,NA,"Msini",0.36,114.41,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...799...89G target=ref>Giguere et al. 2015</a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496L..13T target=ref> Tuomi & Kotiranta 2009 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",1.88070386,187.757215,-73.994616,18.379473,-28.921349,NA,-8.1,4,"G0 V",2.4
"288",288,"HD 116029","b","Radial Velocity",1,670,1.78,0.054,NA,0,0,0,"13h20m39.54s",200.164764,"+24d38m55.3s",24.648699,110.62,4951,1.58,4.6,"14/5/14","HD 116029 b",36.6,NA,NA,"Msini",2.1,667.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",13.34431763,13.885099,82.977258,188.109097,30.48195,9.04,NA,5,"K0",2.7
"289",289,"HD 117207","b","Radial Velocity",1,2597,3.79,0.144,NA,0,0,0,"13h29m21.11s",202.337967,"-35d34m15.6s",-35.570995,33.01,5724,1.08,NA,"14/5/14","HD 117207 b",NA,NA,NA,"Msini",1.88,597,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>",2004,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005ApJ...619..570M target=ref> Marcy et al. 2005 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",13.48919779,311.552426,26.665355,214.393701,-24.251219,30.29,-17.9,4.8,"G8 IV/V",NA
"290",290,"HD 11755","b","Radial Velocity",1,433.7,1.08,0.19,NA,0,0,0,"01h58m50.09s",29.708696,"+73d09m08.6s",73.152382,231.5,4312.5,0.9,27.3,"15/10/15","HD 11755 b",191.3,NA,NA,"Msini",6.5,2065.895,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>","Ground","Bohyunsan Optical Astronomical Observatory","1.8 m Telescope","BOES Echelle Spectrograph",1.98057976,127.840069,10.926218,63.839947,55.181791,4.27,NA,4.5,"G5",10.2
"291",291,"HD 117618","b","Radial Velocity",1,25.827,0.176,0.42,NA,0,0,0,"13h32m25.55s",203.106476,"-47d16m16.9s",-47.271362,38.02,5990,1.08,NA,"14/5/14","HD 117618 b",NA,NA,NA,"Msini",0.178,56.6,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>",2004,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005ApJ...623.1171T target=ref> Tinney et al. 2005 </a>","Ground","Anglo-Australian Telescope","3.9 m Anglo-Australian Telescope","UCLES Spectrograph",13.54043172,310.111452,15.028259,220.684221,-34.613596,26.3,0.9,4.2,"G2 V",NA
"292",292,"HD 118203","b","Radial Velocity",1,6.1335,0.07,0.309,NA,0,0,0,"13h34m02.54s",203.510574,"+53d43m42.7s",53.728531,88.57,5600,1.23,NA,"14/5/14","HD 118203 b",NA,NA,NA,"Msini",2.13,677,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006A&A...446..717D target=ref> da Silva et al. 2006 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006A&A...446..717D target=ref> da Silva et al. 2006 </a>","Ground","Haute-Provence Observatory","1.93 m Telescope","ELODIE Spectrograph",13.56737162,109.344272,62.26151,169.130768,56.467481,11.29,-29.39,5,"K0",4.6
"293",293,"HD 11964","b","Radial Velocity",2,1945,3.16,0.041,NA,0,0,0,"01h57m09.61s",29.290026,"-10d14m32.7s",-10.242428,33.98,5349,1.12,NA,"14/5/14","HD 11964 b",NA,NA,NA,"Msini",0.622,198,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",1.95266838,168.577683,-67.090456,23.376195,-20.771645,29.43,-9.4,4.8,"G8 IV",NA
"294",294,"HD 11964","c","Radial Velocity",2,37.91,0.229,0.3,NA,0,0,0,"01h57m09.61s",29.290026,"-10d14m32.7s",-10.242428,33.98,5349,1.12,NA,"14/5/14","HD 11964 c",NA,NA,NA,"Msini",0.0788,25,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",1.95266838,168.577683,-67.090456,23.376195,-20.771645,29.43,-9.4,4.8,"G8 IV",NA
"295",295,"HD 11977","b","Radial Velocity",1,711,1.93,0.4,NA,0,0,0,"01h54m56.13s",28.733881,"-67d38m50.3s",-67.647301,66.49,4970,1.91,10.09,"14/5/14","HD 11977 b",NA,NA,NA,"Msini",6.54,2080,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...437L..31S target=ref> Setiawan et al. 2005 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...437L..31S target=ref> Setiawan et al. 2005 </a>","Ground","La Silla Observatory","Multiple Telescopes","FEROS Spectrograph",1.91559207,293.925449,-48.355358,329.028741,-67.11219,15.04,-18.01,4.8,"G8 III/IV",1.2
"296",296,"HD 120084","b","Radial Velocity",1,2082,4.3,0.66,NA,0,0,0,"13h42m39.20s",205.663345,"+78d03m52.0s",78.064438,97.66,4892,2.39,9.12,"14/5/14","HD 120084 b",53,NA,NA,"Msini",4.5,1430.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013PASJ...65...85S target=ref> Sato et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013PASJ...65...85S target=ref> Sato et al. 2013 </a>","Ground","Okayama Astrophysical Observatory","1.88 m Telescope","HIDES Echelle Spectrograph",13.71088969,119.563913,38.726981,121.265966,68.951115,10.24,NA,4.7,"G7 III",NA
"297",297,"HD 121504","b","Radial Velocity",1,63.33,0.33,0.03,NA,0,0,0,"13h57m17.24s",209.321823,"-56d02m24.2s",-56.040043,44.37,6075,1.18,NA,"14/5/14","HD 121504 b",NA,NA,NA,"Msini",1.22,388,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...415..391M target=ref> Mayor et al. 2004 </a>",2003,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...415..391M target=ref> Mayor et al. 2004 </a>","Ground","La Silla Observatory","1.2 m Leonhard Euler Telescope","CORALIE Spectrograph",13.95478821,312.085268,5.657071,230.023169,-40.705344,22.54,19.3,4.2,"G2 V",1.2
"298",298,"HD 12484","b","Radial Velocity",1,58.83,0.297,0.07,NA,0,0,0,"02h02m26.73s",30.611374,"+02d48m57.1s",2.815859,51.1,5920,1.01,NA,"16/2/25","HD 12484 b",155,NA,NA,"Msini",2.98,947.1334,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016arXiv160204622H target=ref>Hebrard et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016arXiv160204622H target=ref>Hebrard et al. 2016</a>","Ground","Haute-Provence Observatory","1.93 m Telescope","SOPHIE Spectrograph",2.04075826,155.461457,-55.50621,29.491467,-9.046501,19.61,4.96,3.8,"F8",NA
"299",299,"HD 125595","b","Radial Velocity",1,9.6737,0.0809,0,NA,0,0,0,"14h21m23.18s",215.346603,"-40d23m38.2s",-40.393948,27.45,NA,NA,NA,"14/5/14","HD 125595 b",4.79,NA,NA,"Msini",0.041,13.134,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...535A..54S target=ref> S&eacute;gransan et al. 2011 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...535A..54S target=ref> S&eacute;gransan et al. 2011 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",14.35644023,320.911149,19.316652,226.821318,-24.790508,36.43,NA,5.35,"K3/4 V",NA
"300",300,"HD 125612","b","Radial Velocity",3,559.4,1.37,0.46,NA,0,0,0,"14h20m53.51s",215.222977,"-17d28m53.5s",-17.481522,52.83,5900,1.09,NA,"14/5/14","HD 125612 b",NA,NA,NA,"Msini",3,968,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...669.1336F target=ref> Fischer et al. 2007 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",14.34819845,331.389895,40.395578,218.698859,-3.255242,18.93,-18.4,4.3,"G3 V",3
"301",301,"HD 125612","c","Radial Velocity",3,4.1547,0.05,0.27,NA,0,0,0,"14h20m53.51s",215.222977,"-17d28m53.5s",-17.481522,52.83,5900,1.09,NA,"14/5/14","HD 125612 c",NA,NA,NA,"Msini",0.058,18,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",14.34819845,331.389895,40.395578,218.698859,-3.255242,18.93,-18.4,4.3,"G3 V",3
"302",302,"HD 125612","d","Radial Velocity",3,3008,4.2,0.28,NA,0,0,0,"14h20m53.51s",215.222977,"-17d28m53.5s",-17.481522,52.83,5900,1.09,NA,"14/5/14","HD 125612 d",NA,NA,NA,"Msini",7.2,2286,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",14.34819845,331.389895,40.395578,218.698859,-3.255242,18.93,-18.4,4.3,"G3 V",3
"303",303,"HD 12648","b","Radial Velocity",1,133.6,0.54,0.04,NA,0,0,0,"02h18m59.68s",34.748653,"+85d44m10.1s",85.736153,158.4,4835.8,1.2,9.2,"15/10/15","HD 12648 b",102,NA,NA,"Msini",2.9,921.707,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>","Ground","Bohyunsan Optical Astronomical Observatory","1.8 m Telescope","BOES Echelle Spectrograph",2.31657689,124.65957,23.161463,82.01593,63.907594,6.29,NA,4.5,"G5",4.5
"304",304,"HD 12661","b","Radial Velocity",2,262.709,0.8079,0.3768,NA,0,0,0,"02h04m34.29s",31.142866,"+25d24m51.5s",25.414305,37.16,5748,1.02,1.11,"14/11/19","HD 12661 b",73.56,NA,NA,"Msini",2.176,691.569,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014RAA....14.1447L target=ref>Liu et al. 2014</a>",2000,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2001ApJ...551.1107F target=ref> Fischer et al. 2001 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",2.07619108,143.063016,-34.582301,37.783654,12.001375,26.91,-47.3,5,"K0",6.39
"305",305,"HD 12661","c","Radial Velocity",2,1708,2.8145,0.031,NA,0,0,0,"02h04m34.29s",31.142866,"+25d24m51.5s",25.414305,37.16,5748,1.02,1.11,"14/11/19","HD 12661 c",30.41,NA,NA,"Msini",1.812,575.884,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014RAA....14.1447L target=ref>Liu et al. 2014</a>",2002,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...586.1394F target=ref> Fischer et al. 2003 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",2.07619108,143.063016,-34.582301,37.783654,12.001375,26.91,-47.3,5,"K0",6.39
"306",306,"HD 126614","b","Radial Velocity",1,1244,2.35,0.41,NA,0,0,0,"14h26m48.28s",216.701172,"-05d10m40.0s",-5.17778,68.35,5585,1.15,1.09,"14/5/14","HD 126614 b",NA,NA,NA,"Msini",0.38,120,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",14.44674479,342.012778,50.315234,216.086677,8.856408,14.63,-33.1,4.8,"G8 IV",7.2
"307",307,"HD 128311","b","Radial Velocity",2,453.019,1.084,0.303,30,0,0,0,"14h36m00.56s",219.002335,"+09d44m47.5s",9.746518,NA,NA,0.83,0.76,"15/6/25","HD 128311 b",55.627,NA,NA,"Msini",1.769,562.24127,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795...41M target=ref>McArthur et al. 2014</a>",2002,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",14.60015564,2.729702,59.837362,213.22891,23.706316,60.53,-9.6,5,"K0 V",0.96
"308",308,"HD 128311","c","Radial Velocity",2,921.538,1.74,0.159,55.95,0,0,0,"14h36m00.56s",219.002335,"+09d44m47.5s",9.746518,NA,NA,0.83,0.76,"15/6/25","HD 128311 c",74.799,NA,NA,"Mass",3.789,1204.25787,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795...41M target=ref>McArthur et al. 2014</a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005ApJ...632..638V target=ref> Vogt et al. 2005 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",14.60015564,2.729702,59.837362,213.22891,23.706316,60.53,-9.6,5,"K0 V",0.96
"309",309,"HD 128356","b","Radial Velocity",1,298.2,0.87,0.57,NA,0,0,0,"14h37m04.89s",219.270355,"-25d48m09.2s",-25.802563,26.03,4875,0.65,0.85,"16/11/10","HD 128356 b",36.9,NA,NA,"Msini",0.89,282.8687,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160309391J target=ref>Jenkins et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160309391J target=ref>Jenkins et al. 2016</a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",14.61802368,330.871809,31.275279,224.959091,-9.943193,38.41,NA,5.3,"K3 V",10
"310",310,"HD 129445","b","Radial Velocity",1,1840,2.9,0.7,NA,0,0,0,"14h46m03.07s",221.512772,"-68d45m45.9s",-68.762749,67.61,NA,0.99,NA,"14/5/14","HD 129445 b",NA,NA,NA,"Msini",1.6,508.507,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711.1229A target=ref> Arriagada et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711.1229A target=ref> Arriagada et al. 2010 </a>","Ground","Las Campanas Observatory","6.5 m Magellan II Clay Telescope","MIKE Spectrograph",14.76751811,313.038172,-8.170266,245.34836,-49.435593,14.79,7.5,4.6,"G6 V",NA
"311",311,"HD 130322","b","Radial Velocity",1,10.70871,0.0925,0.029,NA,0,0,0,"14h47m32.73s",221.886368,"-00d16m53.3s",-0.281476,29.76,5387,0.92,0.85,"15/2/19","HD 130322 b",112.5,NA,NA,"Msini",1.15,365.49,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....8H target=ref>Hinkel et al. 2015</a>",1999,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2000A&A...356..590U target=ref> Udry et al. 2000 </a>","Ground","La Silla Observatory","1.2 m Leonhard Euler Telescope","CORALIE Spectrograph",14.79242452,353.214842,50.891193,219.537647,15.133419,33.6,-12.6,5,"K0 V",NA
"313",313,"HD 131496","b","Radial Velocity",1,883,2.09,0.163,NA,0,0,0,"14h53m23.03s",223.345947,"+18d14m07.4s",18.235401,121.36,4927,1.61,4.3,"14/5/14","HD 131496 b",35,NA,NA,"Msini",2.2,699.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",14.88972982,21.811605,60.588702,214.441108,33.121958,8.24,NA,5,"K0",2.7
"314",314,"HD 131664","b","Radial Velocity",1,1951,3.17,0.638,NA,0,0,0,"15h00m06.08s",225.025314,"-73d32m07.2s",-73.535339,57.21,5886,1.1,1.16,"14/5/14","HD 131664 b",NA,NA,NA,"Msini",18.15,5768.371,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",15.00168762,311.837849,-12.929855,250.491324,-53.140259,17.48,34.7,4.3,"G3 V",2.4
"315",315,"HD 13189","b","Radial Velocity",1,471.6,1.85,0.27,NA,0,0,0,"02h09m40.17s",32.417381,"+32d18m59.2s",32.316437,300.3,NA,NA,NA,"14/5/14","HD 13189 b",NA,NA,NA,"Msini",14,4400,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...437..743H target=ref> Hatzes et al. 2005 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...437..743H target=ref> Hatzes et al. 2005 </a>","Ground","Thueringer Landessternwarte Tautenburg","2.0 m Alfred Jensch Telescope","Coude Echelle Spectrograph",2.16115875,141.567826,-27.708512,41.37091,18.075437,0.54,NA,5.2,"K2",NA
"316",316,"HD 132406","b","Radial Velocity",1,974,1.98,0.34,NA,0,0,0,"14h56m54.65s",224.227707,"+53d22m55.8s",53.382168,70.97,NA,NA,NA,"14/5/14","HD 132406 b",NA,NA,NA,"Msini",5.61,1782.951,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...473..323D target=ref> da Silva et al. 2007 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...473..323D target=ref> da Silva et al. 2007 </a>","Ground","Haute-Provence Observatory","1.93 m Telescope","ELODIE Spectrograph",14.94851379,90.149308,55.010121,188.312404,64.408255,14.09,NA,4,"G0",NA
"317",317,"HD 132563","b","Radial Velocity",1,1544,2.62,0.22,NA,0,0,0,"14h58m21.52s",224.589661,"+44d02m35.3s",44.043148,98.52,NA,NA,NA,"14/5/14","HD 132563 b",NA,NA,NA,"Msini",1.49,473.547,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...533A..90D target=ref> Desidera et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...533A..90D target=ref> Desidera et al. 2011 </a>","Ground","Roque de los Muchachos Observatory","3.58 m Telescopio Nazionale Galileo","SARG Spectrograph",14.97264404,74.894377,59.442534,200.01309,56.988627,10.15,NA,3.8,"F8",NA
"318",318,"HD 133131 A","b","Radial Velocity",2,649,1.44,0.33,NA,0,0,0,"15h03m35.45s",225.897705,"-27d50m33.3s",-27.842573,47,5799,0.95,NA,"16/9/8","HD 133131 A b",36.52,NA,NA,"Msini",1.42,451.3186,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806216T target=ref>Teske et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806216T target=ref>Teske et al. 2016</a>","Ground","Las Campanas Observatory","Multiple Telescopes","Multiple Instruments",15.05984701,335.536951,26.53527,231.308602,-10.132717,NA,-15.8,4.2,"G2 V",9.7
"319",319,"HD 133131 A","c","Radial Velocity",2,3568,4.49,0.49,NA,0,0,0,"15h03m35.45s",225.897705,"-27d50m33.3s",-27.842573,47,5799,0.95,NA,"16/9/8","HD 133131 A c",6.89,NA,NA,"Msini",0.42,133.4886,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806216T target=ref>Teske et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806216T target=ref>Teske et al. 2016</a>","Ground","Las Campanas Observatory","Multiple Telescopes","Multiple Instruments",15.05984701,335.536951,26.53527,231.308602,-10.132717,NA,-15.8,4.2,"G2 V",9.7
"320",320,"HD 133131 B","1","Radial Velocity",2,5769,6.15,0.61,NA,0,0,0,"15h03m35.81s",225.8992,"-27d50m27.6s",-27.840994,47,5805,0.93,NA,"16/9/8","HD 133131 B b",37.41,NA,NA,"Msini",2.5,794.575,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806216T target=ref>Teske et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806216T target=ref>Teske et al. 2016</a>","Ground","Las Campanas Observatory","6.5 m Magellan II Clay Telescope","Carnegie Planet Finder Spectrograph",15.0599467,335.53915,26.53588,231.30944,-10.130829,NA,-16.5,4.2,"G2 V",9.7
"321",321,"HD 134987","b","Radial Velocity",2,258.19,0.81,0.233,NA,0,0,0,"15h13m28.67s",228.369446,"-25d18m33.6s",-25.309347,22.2,5585,1.1,1.25,"14/5/14","HD 134987 b",NA,NA,NA,"Msini",1.59,505,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J target=ref> Jones et al. 2010 </a>",1999,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2000ApJ...536..902V target=ref> Vogt et al. 2000 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",15.22462972,339.186087,27.386414,232.757665,-7.091306,NA,4.7,4.5,"G5 V",8.4
"322",322,"HD 134987","c","Radial Velocity",2,5000,5.8,0.12,NA,0,0,0,"15h13m28.67s",228.369446,"-25d18m33.6s",-25.309347,22.2,5585,1.1,1.25,"14/5/14","HD 134987 c",NA,NA,NA,"Msini",0.82,260,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J target=ref> Jones et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J target=ref> Jones et al. 2010 </a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",15.22462972,339.186087,27.386414,232.757665,-7.091306,NA,4.7,4.5,"G5 V",8.4
"323",323,"HD 136418","b","Radial Velocity",1,464.3,1.32,0.255,NA,0,0,0,"15h19m06.18s",229.775757,"+41d43m59.5s",41.733208,106.38,5071,1.33,3.4,"14/5/14","HD 136418 b",NA,NA,NA,"Msini",2,635.633,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010PASP..122..701J target=ref> Johnson et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010PASP..122..701J target=ref> Johnson et al. 2010 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",15.31838379,68.48701,56.567369,208.160955,56.864442,9.4,NA,4.5,"G5",4
"324",324,"HD 137388 A","b","Radial Velocity",1,330,0.89,0.36,NA,0,0,0,"15h35m39.93s",233.916367,"-80d12m16.5s",-80.20459,38.45,5240,0.86,0.82,"14/5/14","HD 137388 A b",NA,NA,NA,"Msini",0.223,70.8731,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...535A..55D target=ref> Dumusque et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...535A..55D target=ref> Dumusque et al. 2011 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",15.59442444,309.743435,-19.582249,259.054595,-58.148125,26.01,25.8,5.2,"K2 IV",6.45
"325",325,"HD 13908","b","Radial Velocity",2,19.382,0.154,0.02,NA,0,0,0,"02h18m14.56s",34.560665,"+65d35m39.7s",65.59436,66.89,6255,1.29,1.67,"14/5/14","HD 13908 b",55.3,NA,NA,"Msini",0.865,274.91,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014A%26A...563A..22M target=ref> Moutou et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014A%26A...563A..22M target=ref> Moutou et al. 2014 </a>","Ground","Haute-Provence Observatory","1.93 m Telescope","SOPHIE Spectrograph",2.30404434,131.744353,4.21882,59.48321,47.924392,14.95,15.88,3.8,"F8 V",2.9
