"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"53",53,"BD-08 2823","b","Radial Velocity",2,5.6,0.056,0.15,NA,0,0,0,"10h00m47.72s",150.198837,"-09d31m00.0s",-9.51668,42.09,4746,0.74,NA,"14/5/14","BD-08 2823 b",6.5,NA,NA,"Msini",0.045,14.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",10.01325582,248.496598,34.756008,155.837804,-20.283333,23.76,53.34,5.3,"K3 V",4.5
"54",54,"BD-08 2823","c","Radial Velocity",2,237.6,0.68,0.19,NA,0,0,0,"10h00m47.72s",150.198837,"-09d31m00.0s",-9.51668,42.09,4746,0.74,NA,"14/5/14","BD-08 2823 c",13.4,NA,NA,"Msini",0.33,104,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",10.01325582,248.496598,34.756008,155.837804,-20.283333,23.76,53.34,5.3,"K3 V",4.5
"55",55,"BD-10 3166","b","Radial Velocity",1,3.48777,0.0452,0.019,NA,0,0,0,"10h58m28.80s",164.620003,"-10d46m13.4s",-10.770376,80,5393,1.01,NA,"14/8/27","BD-10 3166 b",60.9,NA,NA,"Msini",0.458,145.56,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>",2000,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2000ApJ...545..504B target=ref> Butler et al. 2000 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",10.97466687,263.285621,43.238484,170.135211,-15.967545,NA,26.4,5,"K0 V",NA
"56",56,"BD-11 4672","b","Radial Velocity",1,1667,2.28,0.05,NA,0,0,0,"18h33m28.84s",278.370148,"-11d38m09.7s",-11.636039,27.3,4475,0.57,0.52,"15/1/8","BD-11 4672 b",13.4,NA,NA,"Msini",0.53,168.44,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",18.55800985,20.544276,-1.360142,278.367865,11.56045,36.65,-87.3,5.7,"K7 V",4.4
"57",57,"BD-13 2130","b","Radial Velocity",1,714.3,2.1,0.21,NA,0,0,0,"07h37m09.23s",114.288458,"-13d54m23.9s",-13.906639,766,NA,2.4,NA,"15/5/14","BD-13 2130 b",137.6,NA,NA,"Msini",10.6,3368.998,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..657L target=ref> Lovis & Mayor 2007 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..657L target=ref> Lovis & Mayor 2007 </a>","Ground","La Silla Observatory","1.2 m Leonhard Euler Telescope","CORALIE Spectrograph",7.61923053,230.520556,3.531328,119.140645,-34.921187,NA,18.31,4.5,"G5 IV/V",0.74
"58",58,"BD-17 63","b","Radial Velocity",1,655.6,1.34,0.54,NA,0,0,0,"00h28m34.31s",7.142942,"-16d13m34.8s",-16.226345,37.54,4714,0.74,0.69,"14/5/14","BD-17 63 b",173.3,NA,NA,"Msini",5.1,1620.9,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",0.47619613,95.83866,-77.878025,359.903057,-17.689941,26.64,NA,5.5,"K5 V",4.3
"88",88,"CoRoT-7","c","Radial Velocity",2,3.698,0.046,0,80,0,0,0,"06h43m49.47s",100.956125,"-01d03m46.9s",-1.063033,153.7,5259,0.91,0.82,"15/9/10","CoRoT-7 c",4,NA,NA,"Mass",0.02643,8.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..303Q target=ref> Queloz et al. 2009 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..303Q target=ref> Queloz et al. 2009 </a>","Space","CoRoT","0.27 m CoRoT Telescope","CoRoT CCD Array",6.73040833,213.01046,-2.178513,102.010052,-24.046701,NA,31.17,4.9,"G9 V",1.32
"105",105,"GJ 15 A","b","Radial Velocity",1,11.4433,0.0717,0,NA,0,0,0,"00h18m22.89s",4.595356,"+44d01m22.6s",44.022953,3.57,3567,0.38,0.39,"14/9/18","GJ 15 A b",2.94,NA,NA,"Msini",0.017,5.35,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...794...51H target=ref>Howard et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...794...51H target=ref>Howard et al. 2014</a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",0.30635703,116.676911,-18.446885,24.675035,37.929039,280.27,11.3,6.2,"M2 V",NA
"106",106,"GJ 163","b","Radial Velocity",3,8.631,0.061,0.11,NA,0,0,0,"04h09m15.67s",62.315273,"-53d22m25.3s",-53.373699,14.97,3500,0.4,NA,"14/5/14","GJ 163 b",6.22,NA,NA,"Msini",0.035,11,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.15435155,262.781877,-45.323559,30.835617,-71.166855,66.82,58.6,6.35,"M3.5 V",6
"107",107,"GJ 163","c","Radial Velocity",3,25.6,0.13,0.08,NA,0,0,0,"04h09m15.67s",62.315273,"-53d22m25.3s",-53.373699,14.97,3500,0.4,NA,"14/5/14","GJ 163 c",3.07,NA,NA,"Msini",0.024,7.7,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.15435155,262.781877,-45.323559,30.835617,-71.166855,66.82,58.6,6.35,"M3.5 V",6
