rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_eccen,koi_fittype,koi_prad,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,9.48803146,0,MCMC,3.1,85.94,881,142.17,1,5850,4.426,1.04,291.93423,48.141651
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,54.418464,0,MCMC,3.1,89.95,492,13.86,2,5850,4.426,1.04,291.93423,48.141651
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,19.89913981,0,MCMC,3462.25,80.79,639,39.3,1,5853,4.544,0.868,297.00482,48.134129
4,10848459,K00754.01,,CANDIDATE,CANDIDATE,1.736952479,0,MCMC,34.04,67.61,1404,919.79,1,5795,4.546,0.803,285.53461,48.28521
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,2.525593315,0,MCMC,2.71,89.38,1407,926.16,1,6031,4.438,1.046,288.75488,48.2262
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,11.09431923,0,MCMC,4.02,89.38,835,114.81,1,6046,4.486,0.972,296.28613,48.22467
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,4.13443005,0,MCMC,3.02,83.08,1160,427.65,2,6046,4.486,0.972,296.28613,48.22467
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,2.56659092,0,MCMC,1.56,88.24,1360,807.74,3,6046,4.486,0.972,296.28613,48.22467
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,16.06862959,0,MCMC,5.27,89.95,571,25.07,1,5126,4.609,0.742,286.99948,48.37579
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613385,0,MCMC,12.85,84.22,1344,772.22,1,5850,4.455,0.95,286.80847,49.316399
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735365,0,MCMC,16.39,89.95,2025,3973.7,1,6350,4.021,1.991,292.24728,47.969521
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498573,0,MCMC,14.83,85.37,1521,1264.67,1,6225,4.169,1.451,281.28812,42.45108
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709213846,0,MCMC,1.24,88.81,1236,552.21,2,5803,4.351,1.073,295.64871,48.49556
17,10480982,K00744.01,,CANDIDATE,CANDIDATE,19.22138615,0,MCMC,51.4,88.24,698,55.97,1,6117,4.496,0.947,295.81454,47.69035
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.27358194,0,MCMC,2.52,89.38,649,41.85,1,4856,4.583,0.696,288.13824,47.724449
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.029301321,0,MCMC,3.14,89.38,685,52.09,1,4536,4.636,0.693,283.71088,47.86327
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.34955671,0,MCMC,2.7,84.22,918,167.93,1,5559,4.572,0.806,292.37613,47.880989
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94104632,0,MCMC,1.59,89.95,1017,252.42,2,5559,4.572,0.806,292.37613,47.880989
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904671,0,MCMC,1.19,88.81,799,96.38,3,5559,4.572,0.806,292.37613,47.880989
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67697486,0,MCMC,1.54,89.95,430,8.09,1,4722,4.723,0.527,290.46512,47.92918
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99678284,0,MCMC,2.7,88.81,917,166.95,1,5339,4.552,0.847,297.80826,47.946671
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280958588,0,MCMC,2.33,88.24,1014,250.32,1,5641,4.556,0.831,294.26581,49.314091
30,11465813,K00771.01,,CANDIDATE,CANDIDATE,670.645246,0,MCMC,14.41,89.38,196,0.35,,5520,4.466,0.983,296.69861,49.316479
31,11493732,K00772.01,,CANDIDATE,CANDIDATE,61.2563443,0,MCMC,64.23,87.09,505,15.43,1,6144,4.402,1.091,283.72592,49.479519
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3774623,0,MCMC,2.7,89.95,541,20.3,1,5957,4.498,0.971,291.72202,49.480869
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.1970874,0,MCMC,3.62,89.95,417,7.14,2,5126,4.609,0.742,286.99948,48.37579
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252964898,0,MCMC,2.41,89.38,782,88.22,3,5126,4.609,0.742,286.99948,48.37579
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.01310205,0,MCMC,2.86,89.95,593,29.31,1,5015,4.499,0.826,297.02563,48.478588
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62882975,0,MCMC,3791.05,56.72,506,15.48,1,5588,4.563,0.796,285.71854,48.505859
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.77221,0,MCMC,2.13,89.95,358,3.9,2,5588,4.563,0.796,285.71854,48.505859
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,4.959319451,0,MCMC,11.88,85.94,1128,382.06,1,6117,4.457,1.025,292.16705,48.727589
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.49876092,0,MCMC,2.21,89.95,1133,389.62,1,6075,4.486,0.969,298.45685,48.791592
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.41220713,0,MCMC,3.28,89.38,1306,686.92,1,6391,4.226,1.332,287.88733,46.276241
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.43962808,0,MCMC,5.73,89.38,516,16.72,1,5468,4.367,1.046,295.55505,49.017342
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.35390639,0,MCMC,2.54,89.95,789,91.45,1,5592,4.584,0.782,285.49924,49.277351
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125546869,0,MCMC,4.46,87.66,1244,565.35,1,6174,4.417,1.103,291.93616,49.253979
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504852,0,MCMC,12.82,89.95,1253,583.25,1,5653,4.44,0.965,297.01547,49.225288
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689926291,0,MCMC,1.96,89.38,1147,408.99,1,5880,4.518,0.917,291.62241,50.61824
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431242593,0,MCMC,3.07,89.38,1074,314.29,1,5841,4.52,0.931,295.81616,51.121738
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37938071,0,MCMC,3.74,87.09,784,89.22,2,5841,4.52,0.931,295.81616,51.121738
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.39435646,0,MCMC,3.16,89.95,491,13.78,1,5127,4.587,0.775,289.39972,51.25032
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57076622,0,MCMC,2.35,89.95,796,94.89,1,5881,4.388,1.029,300.86398,44.337551
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594591,0,MCMC,1.88,89.38,1191,476.01,2,6391,4.226,1.332,287.88733,46.276241
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38485646,0,MCMC,1.81,89.95,392,5.56,2,3898,4.721,0.54,286.73804,49.97575
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.87740709,0,MCMC,2.33,87.09,500,14.76,1,3898,4.721,0.54,286.73804,49.97575
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4451982,0,MCMC,1.8,89.95,300,1.91,3,3898,4.721,0.54,286.73804,49.97575
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728731093,0,MCMC,6.27,87.09,1022,258.17,1,5492,4.576,0.812,290.78574,50.054119
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,40.41958501,0,MCMC,8.02,88.81,468,11.29,1,5446,4.507,0.781,294.31686,50.080231
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,2.243381847,0,MCMC,1.32,89.38,685,52.11,1,3741,4.803,0.45,285.17621,50.149818
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,2.33743801,0,MCMC,2.38,86.52,1054,291.62,1,4989,4.605,0.727,293.83331,50.23035
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,7.2406514,0,MCMC,5.32,88.24,723,64.51,2,4989,4.605,0.727,293.83331,50.23035
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.4358789,0,MCMC,0.65,88.81,1519,1257.38,,6391,4.226,1.332,287.88733,46.276241
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,11.59822172,0,MCMC,3.07,88.24,400,6.07,1,3672,4.765,0.49,296.22195,50.28722
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,6.57531678,0,MCMC,5.38,89.95,1015,251.38,1,5992,4.415,0.989,290.09805,50.321609
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,7.27503724,0,MCMC,4.91,85.94,833,113.64,1,5485,4.556,0.867,295.45529,50.49456
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.2715468,0,MCMC,1.73,89.95,343,3.28,1,3767,4.783,0.48,293.97336,50.53191
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.06525843,0,MCMC,1.61,89.95,426,7.81,2,3767,4.783,0.48,293.97336,50.53191
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,12.39358604,0,MCMC,2.69,87.09,680,50.46,1,5557,4.594,0.752,296.02133,50.56778
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84444353,0,MCMC,2.58,89.38,538,19.88,2,5881,4.388,1.029,300.86398,44.337551
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,1.626629735,0,MCMC,447.32,35.52,1548,1355.88,1,5735,4.41,0.973,294.36819,38.31028
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711502579,0,MCMC,3.62,79.64,1405,920.54,1,6167,4.444,1.064,291.65353,38.494659
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.21204152,0,MCMC,3.51,89.95,1015,250.42,2,6167,4.444,1.064,291.65353,38.494659
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.47237844,0,MCMC,2.71,89.95,752,75.44,1,5354,4.587,0.788,296.36652,51.319519
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.4186137,0,MCMC,2.72,89.38,390,5.49,2,5354,4.587,0.788,296.36652,51.319519
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,12.61190667,0,MCMC,7.66,88.24,753,76.15,1,5795,4.508,0.919,289.11221,51.737381
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,2.539183179,0,MCMC,1.97,89.95,1348,780.68,1,5996,4.489,0.956,291.43997,37.905659
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,6.770302008,0,MCMC,2.66,88.81,813,103.21,1,5666,4.658,0.677,290.87051,38.273628
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,10.18158156,0,MCMC,8.18,85.94,819,106.37,1,5995,4.529,0.847,291.28195,38.241669
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,20.06037454,0,MCMC,1.99,89.38,350,3.53,2,3887,4.783,0.48,286.07913,39.27832
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,46.18415,0,MCMC,1.94,89.95,265,1.16,3,3887,4.783,0.48,286.07913,39.27832
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9802348,0,MCMC,0.99,89.38,658,44.45,3,5881,4.388,1.029,300.86398,44.337551
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,7.82501206,0,MCMC,1.22,88.81,478,12.36,4,3887,4.783,0.48,286.07913,39.27832
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,3.895936844,0,MCMC,7.92,87.66,1011,247.08,1,5557,4.58,0.781,294.65524,39.308361
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,22.36656079,0,MCMC,2.45,89.95,544,20.67,1,5413,4.594,0.751,294.71063,39.52174
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.6255222,0,MCMC,9.74,89.95,1572,1443.75,1,5717,4.394,1.057,293.87192,38.422939
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,19.62034739,0,MCMC,12,89.95,605,31.59,1,5733,4.592,0.77,293.81619,38.563568
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,9.0293089,0,MCMC,2.72,89.95,757,77.75,1,5349,4.526,0.82,290.33362,38.72823
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,143.2063518,0,MCMC,9.36,89.95,308,2.14,2,5485,4.556,0.867,285.28363,38.947281
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.16491696,0,MCMC,0.85,87.66,1035,271.63,4,5881,4.388,1.029,300.86398,44.337551
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,60.32488611,0,MCMC,12.88,89.95,411,6.77,1,5485,4.556,0.867,285.28363,38.947281
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,29.1598615,0,MCMC,1.91,89.38,524,17.85,,5485,4.556,0.867,285.28363,38.947281
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.594745463,0,MCMC,11.77,85.94,1540,1329.42,1,5934,4.491,0.893,285.21381,39.027481
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,4.78300451,0,MCMC,2.76,87.09,886,145.48,1,5170,4.574,0.807,287.09399,39.060719
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,20.50586978,0,MCMC,3.62,89.38,518,17.06,1,4905,4.544,0.761,289.31543,39.153278
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,3.34021995,0,MCMC,2.18,86.52,635,38.42,1,3887,4.783,0.48,286.07913,39.27832
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,18.64929678,0,MCMC,2.9,89.95,700,56.9,1,6079,4.495,0.945,290.46176,40.562462
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.90143807,0,MCMC,1.84,81.93,1263,601.94,3,5851,4.192,1.411,297.02826,48.208611
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,9.75193182,0,MCMC,2.44,81.93,869,135.05,3,6079,4.495,0.945,290.46176,40.562462
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,38.5575914,0,MCMC,3.57,88.24,550,21.6,2,6079,4.495,0.945,290.46176,40.562462
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,3.525632561,0,MCMC,11.87,89.95,955,196.91,1,5071,4.58,0.788,290.58173,40.5774
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,34.84399566,0,MCMC,7.49,88.81,511,16.1,1,5509,4.482,0.871,285.92001,39.624828
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,7.748094374,0,MCMC,5.56,88.81,958,198.7,1,5918,4.431,1.079,294.4899,39.771439
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,23.9679932,0,MCMC,1.85,89.38,325,2.62,1,3750,4.755,0.51,283.86639,39.898079
116,4725681,K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,8.29559431,0,MCMC,1.53,89.38,462,10.8,2,3750,4.755,0.51,283.86639,39.898079
117,4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,8.114379,0,MCMC,2.14,89.95,466,11.19,1,3721,4.738,0.52,288.81201,40.033401
119,4936180,K00820.01,,CANDIDATE,CANDIDATE,4.640933983,0,MCMC,4.76,89.95,1155,421.08,1,6463,4.5,0.826,295.11371,40.071171
121,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,14.74913518,0,MCMC,3.07,87.09,875,138.71,1,5851,4.192,1.411,297.02826,48.208611
122,5021899,K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,21.81293494,0,MCMC,3.62,89.95,639,39.33,1,5601,4.41,0.999,294.77686,40.15374
124,5115978,K00823.01,,CANDIDATE,CANDIDATE,1.028436523,0,MCMC,72.77,57.3,1947,3400.48,,6228,4.428,0.99,296.00699,40.295429
125,5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,15.37563332,0,MCMC,10.45,88.81,576,26.08,1,4985,4.549,0.744,283.25354,40.358189
126,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,8.10361363,0,MCMC,2.27,88.81,688,52.82,1,4861,4.574,0.732,283.22141,40.421829
127,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,4.71510365,0,MCMC,1.5,89.95,824,108.84,2,4861,4.574,0.732,283.22141,40.421829
128,5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,6.365841612,0,MCMC,2.54,87.66,917,166.88,1,5787,4.553,0.851,291.14951,40.420521
131,5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,3.040330424,0,MCMC,9.17,85.94,1021,257.29,1,5035,4.519,0.791,299.3161,40.82238
132,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,15.33525912,0,MCMC,4.94,89.95,630,37.16,2,5325,4.558,0.863,292.23676,41.08588
133,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,7.95830216,0,MCMC,1.07,89.38,1075,315.94,4,5851,4.192,1.411,297.02826,48.208611
134,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,31.33050622,0,MCMC,7.24,88.81,496,14.33,1,5325,4.558,0.863,292.23676,41.08588
137,5376067,K00833.01,,CANDIDATE,CANDIDATE,3.951403812,0,MCMC,31.71,76.78,1132,388.71,1,6046,4.539,0.869,295.50439,40.505489
138,5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,23.65368621,0,MCMC,5.71,89.95,625,36.16,1,5858,4.495,0.963,287.89713,40.637821
139,5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,13.23356008,0,MCMC,2.15,89.95,759,78.47,2,5858,4.495,0.963,287.89713,40.637821
140,5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,6.15555756,0,MCMC,1.88,81.93,980,217.72,3,5858,4.495,0.963,287.89713,40.637821
141,5436502,K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,2.09081565,0,MCMC,1.05,87.09,1404,919.65,4,5858,4.495,0.963,287.89713,40.637821
142,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,3.180024635,0,MCMC,1.55,87.66,1460,1073.75,2,5851,4.192,1.411,297.02826,48.208611
143,5436502,K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,50.4473156,0,MCMC,2.15,88.81,486,13.17,5,5858,4.495,0.963,287.89713,40.637821
144,5456651,K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,11.76305946,0,MCMC,2.36,89.95,614,33.63,1,4980,4.608,0.734,294.20215,40.66341
145,5456651,K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,56.2279697,0,MCMC,2.19,89.95,365,4.18,2,4980,4.608,0.734,294.20215,40.66341
147,5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,7.95355717,0,MCMC,2.3,89.95,712,60.67,1,4988,4.586,0.766,291.15878,40.750271
148,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,4.14451776,0,MCMC,1.54,88.81,884,144.68,2,4988,4.586,0.766,291.15878,40.750271
149,5534814,K00838.01,,CANDIDATE,CANDIDATE,4.859386668,0,MCMC,32.95,81.93,1110,359.2,1,6061,4.471,0.983,292.21436,40.759762
150,6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,10.52629406,0,MCMC,8.5,88.81,713,61.16,1,5386,4.553,0.793,293.87811,41.66177
151,6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,4.583521756,0,MCMC,5.69,89.95,1039,274.98,1,5815,4.54,0.877,299.18686,41.74268
152,6422070,K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,3.76182115,0,MCMC,2.59,79.07,1120,372.62,1,5653,4.472,0.949,283.31638,41.83712
153,6428700,K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,8.2039687,0,MCMC,3.04,86.52,742,71.5,1,5015,4.499,0.826,286.5657,41.808399
154,6428700,K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,14.49643531,0,MCMC,2.82,85.37,613,33.48,2,5015,4.499,0.826,286.5657,41.808399
155,5792202,K00841.03,,CANDIDATE,CANDIDATE,6.54626058,0,MCMC,2.83,84.8,836,115.56,3,5325,4.558,0.863,292.23676,41.08588
156,5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,12.71810317,0,MCMC,2.35,89.38,562,23.6,1,4702,4.592,0.686,292.91312,41.060921
157,5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,36.06587916,0,MCMC,2.71,89.95,397,5.88,2,4702,4.592,0.686,292.91312,41.060921
158,5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,4.190425575,0,MCMC,6.73,88.81,1265,605.98,1,6067,4.347,1.196,293.49661,41.137589
159,6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,3.709870645,0,MCMC,3.96,89.38,1056,294.23,1,5576,4.556,0.852,283.86441,41.346458
160,6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,16.32976218,0,MCMC,3.97,86.52,725,65.19,1,5870,4.447,0.983,288.51001,41.301769
161,6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,27.80756293,0,MCMC,14.46,88.81,557,22.7,1,5864,4.575,0.791,296.88821,41.396091
162,6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,80.8720639,0,MCMC,4.73,89.38,376,4.74,1,5665,4.563,0.764,287.1543,41.565788
164,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,24.99324193,0,MCMC,2.28,88.81,719,63.24,1,5747,4.182,1.357,287.36279,38.649601
165,6276477,K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,10.35533177,0,MCMC,3.09,85.94,777,86.22,1,5501,4.462,0.918,288.9942,41.633282
166,6863998,K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,16.08524954,0,MCMC,3.19,89.95,613,33.43,1,5239,4.523,0.826,292.10519,42.380322
167,6867155,K00868.01,,CANDIDATE,CANDIDATE,235.9980206,0,MCMC,8.88,89.95,157,0.14,1,3822,4.73,0.53,293.00797,42.307201
168,6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,7.49017229,0,MCMC,2.98,89.95,821,107.48,1,5257,4.46,0.874,291.63898,42.436321
169,6948054,K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,36.27594657,0,MCMC,3.5,89.95,485,13.12,2,5257,4.46,0.874,291.63898,42.436321
170,6948054,K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,17.46085263,0,MCMC,2.53,89.95,619,34.79,3,5257,4.46,0.874,291.63898,42.436321
171,6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,56.0560538,0,MCMC,1.96,89.95,229,0.64,1,3593,4.784,0.47,289.50848,41.812119
172,6522242,K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,41.40831348,0,MCMC,11.71,89.95,453,9.93,1,5522,4.586,0.747,291.76041,41.944069
173,6526710,K00856.01,,CANDIDATE,CANDIDATE,39.7489401,0,MCMC,14.57,88.24,552,21.87,1,6122,4.487,0.964,293.17929,41.969238
174,6587280,K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,5.71542485,0,MCMC,2.48,89.95,842,118.57,1,5228,4.585,0.811,285.11047,42.033958
175,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,49.18394922,0,MCMC,8.97,89.38,706,58.63,1,5854,3.9,2.192,294.55917,46.062328
176,6587280,K00857.02,Kepler-243 c,CONFIRMED,CANDIDATE,20.026231,0,MCMC,1.73,89.95,554,22.24,2,5228,4.585,0.811,285.11047,42.033958
177,6599919,K00858.01,,CANDIDATE,CANDIDATE,13.61014828,0,MCMC,14.4,87.09,733,68.29,1,5697,4.46,0.903,289.89777,42.009151
179,6685526,K00861.01,Kepler-707 b,CONFIRMED,CANDIDATE,2.237492751,0,MCMC,1.35,89.38,1129,384.08,1,5228,4.6,0.755,290.00757,42.116459
181,6784235,K00863.01,Kepler-708 b,CONFIRMED,CANDIDATE,3.167891938,0,MCMC,2.87,87.66,1221,526.23,1,5895,4.503,0.94,293.81647,42.212502
182,6849310,K00864.01,Kepler-244 b,CONFIRMED,CANDIDATE,4.311779906,0,MCMC,2.87,87.66,986,223.51,1,5565,4.574,0.802,287.24268,42.301369
183,6849310,K00864.02,Kepler-244 d,CONFIRMED,CANDIDATE,20.05040157,0,MCMC,2.78,87.66,591,28.78,2,5565,4.574,0.802,287.24268,42.301369
184,6849310,K00864.03,Kepler-244 c,CONFIRMED,CANDIDATE,9.76734365,0,MCMC,2,89.38,751,75.17,3,5565,4.574,0.802,287.24268,42.301369
185,6862328,K00865.01,,CANDIDATE,CANDIDATE,119.0206251,0,MCMC,7.58,89.95,348,3.49,1,5796,4.544,0.871,291.58377,42.36816
186,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,190.3216564,0,MCMC,8.15,89.38,449,9.65,2,5854,3.9,2.192,294.55917,46.062328
188,7366258,K00880.01,Kepler-82 b,CONFIRMED,CANDIDATE,26.44435456,0,MCMC,4.7,88.24,588,28.33,2,5739,4.488,0.928,292.87338,42.966141
189,7366258,K00880.02,Kepler-82 c,CONFIRMED,CANDIDATE,51.53998542,0,MCMC,6.11,89.38,471,11.63,1,5739,4.488,0.928,292.87338,42.966141
190,7366258,K00880.03,Kepler-82 e,CONFIRMED,CANDIDATE,5.902246921,0,MCMC,2.55,89.95,970,209.32,3,5739,4.488,0.928,292.87338,42.966141
191,7366258,K00880.04,Kepler-82 d,CONFIRMED,CANDIDATE,2.382952186,0,MCMC,1.77,88.81,1313,702.44,4,5739,4.488,0.928,292.87338,42.966141
192,7373451,K00881.01,Kepler-712 b,CONFIRMED,CANDIDATE,21.02247699,0,MCMC,3.12,89.95,539,19.93,1,5330,4.612,0.718,294.90973,42.935261
193,6948054,K00869.04,Kepler-245 e,CONFIRMED,CANDIDATE,3.219821056,0,MCMC,1.92,89.95,1088,331.28,4,5257,4.46,0.874,291.63898,42.436321
194,6949607,K00870.01,Kepler-28 b,CONFIRMED,CANDIDATE,5.912268297,0,MCMC,1.92,87.66,585,27.72,1,4072,4.697,0.57,292.13702,42.42942
195,6949607,K00870.02,Kepler-28 c,CONFIRMED,CANDIDATE,8.98584768,0,MCMC,1.94,87.09,509,15.86,2,4072,4.697,0.57,292.13702,42.42942
