rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_eccen,koi_fittype,koi_prad,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec
1138,11046025,K01646.01,,CANDIDATE,CANDIDATE,3.72020177,0,MCMC,1.03,89.38,954,195.7,1,5017,4.516,0.797,298.46579,48.55941
1140,9729691,K01751.01,Kepler-949 b,CONFIRMED,CANDIDATE,8.689307296,0,MCMC,3.03,89.38,782,88.24,1,5211,4.447,0.895,298.60788,46.453678
1141,9729691,K01751.02,,CANDIDATE,CANDIDATE,20.99747771,0,MCMC,3.72,88.24,582,27.2,2,5211,4.447,0.895,298.60788,46.453678
1143,10904857,K00194.01,Kepler-488 b,CONFIRMED,CANDIDATE,3.120829229,0,MCMC,14.51,84.8,1303,680.79,1,6122,4.471,0.996,282.96616,48.34507
1144,8651389,K01754.01,,CANDIDATE,CANDIDATE,15.13591895,0,MCMC,2.54,89.95,933,179.19,1,6047,4.132,1.559,299.95721,44.771889
1146,7871954,K01515.01,Kepler-303 b,CONFIRMED,CANDIDATE,1.937032068,0,MCMC,0.95,89.38,794,93.83,1,3944,4.739,0.51,283.13547,43.657051
1147,7871954,K01515.02,Kepler-303 c,CONFIRMED,CANDIDATE,7.06117359,0,MCMC,1.15,89.95,516,16.74,2,3944,4.739,0.51,283.13547,43.657051
1148,12418724,K01516.01,Kepler-873 b,CONFIRMED,CANDIDATE,20.5533844,0,MCMC,3.32,88.24,753,76.18,1,6343,4.411,1.137,296.4032,51.271339
1149,7456001,K01517.01,Kepler-874 b,CONFIRMED,CANDIDATE,40.0686727,0,MCMC,3.41,88.81,560,23.27,1,6026,4.411,0.992,294.95685,43.014332
1150,10028792,K01574.01,Kepler-87 b,CONFIRMED,CANDIDATE,114.7363519,0,MCMC,9.51,89.38,444,9.15,1,5991,4.205,1.293,297.91687,46.96513
1151,10028792,K01574.02,Kepler-87 c,CONFIRMED,CANDIDATE,573.95023,0,MCMC,4.96,89.95,259,1.07,2,5991,4.205,1.293,297.91687,46.96513
1152,10028792,K01574.03,,CANDIDATE,CANDIDATE,5.83392471,0,MCMC,1.25,89.95,1197,485.65,3,5991,4.205,1.293,297.91687,46.96513
1154,5299459,K01576.01,Kepler-307 b,CONFIRMED,CANDIDATE,10.41572924,0,MCMC,3.43,88.24,855,126.3,1,5671,4.36,1.084,297.79514,40.417709
1155,11153121,K01647.01,Kepler-313 b,CONFIRMED,CANDIDATE,14.9702081,0,MCMC,1.91,88.24,785,89.93,1,5900,4.363,1.07,298.29495,48.775459
1156,11153121,K01647.02,Kepler-313 c,CONFIRMED,CANDIDATE,32.2752118,0,MCMC,1.7,88.81,608,32.32,2,5900,4.363,1.07,298.29495,48.775459
1157,11153121,K01647.03,,CANDIDATE,CANDIDATE,6.33027476,0,MCMC,1.02,88.24,1046,283.31,3,5900,4.363,1.07,298.29495,48.775459
1158,11177543,K01648.01,,CANDIDATE,CANDIDATE,38.326218,0,MCMC,1.83,89.38,473,11.87,1,5448,4.562,0.857,284.13263,48.825119
1159,11337141,K01649.01,,CANDIDATE,CANDIDATE,4.04355143,0,MCMC,0.92,89.38,582,27.05,1,3767,4.766,0.479,284.13287,49.142609
1160,6705142,K01758.01,,CANDIDATE,CANDIDATE,5.59729237,0,MCMC,3.36,89.95,930,176.53,1,5610,4.551,0.858,295.43436,42.166321
1161,3967760,K01760.01,Kepler-317 b,CONFIRMED,CANDIDATE,5.52417517,0,MCMC,2.11,88.81,951,193.67,1,5497,4.486,0.936,294.94388,39.032059
1162,3967760,K01760.02,Kepler-317 c,CONFIRMED,CANDIDATE,8.77508519,0,MCMC,1.85,88.81,816,104.68,2,5497,4.486,0.936,294.94388,39.032059
1163,4067336,K01761.01,,CANDIDATE,CANDIDATE,10.12740725,0,MCMC,42.15,84.22,969,208.77,1,6392,4.399,1.162,294.14682,39.12706
1164,5387843,K01762.01,,CANDIDATE,CANDIDATE,0.870694618,0,MCMC,2.24,75.06,1875,2923.54,1,5985,4.519,0.883,298.13391,40.530289
1165,7549209,K01518.01,Kepler-875 b,CONFIRMED,CANDIDATE,27.5073799,0,MCMC,2.28,88.81,569,24.71,1,5783,4.539,0.88,297.3013,43.141891
1166,7663405,K01519.01,Kepler-876 b,CONFIRMED,CANDIDATE,5.14438011,0,MCMC,1.45,89.38,864,131.97,1,5192,4.583,0.802,283.47818,43.383781
1167,9765975,K01520.01,Kepler-877 b,CONFIRMED,CANDIDATE,18.45847097,0,MCMC,2.3,88.24,615,33.86,1,5413,4.501,0.865,289.85913,46.522671
1168,9818462,K01521.01,Kepler-878 b,CONFIRMED,CANDIDATE,25.9422033,0,MCMC,1.87,89.95,502,15.07,1,5121,4.533,0.762,285.2962,46.603439
1169,6803202,K00177.01,,CANDIDATE,CANDIDATE,21.06075647,0,MCMC,1.94,88.81,685,52.1,1,5757,4.358,1.068,298.17722,42.237041
1170,5299459,K01576.02,Kepler-307 c,CONFIRMED,CANDIDATE,13.08424096,0,MCMC,3.21,87.66,792,93.08,2,5671,4.36,1.084,297.79514,40.417709
1171,9651668,K00183.01,Kepler-423 b,CONFIRMED,CANDIDATE,2.684328485,0,MCMC,12.43,89.38,1291,655.98,1,5970,4.521,0.908,292.85574,46.391178
1172,5299459,K01576.03,,CANDIDATE,CANDIDATE,23.3397956,0,MCMC,1.23,89.95,653,43.02,,5671,4.36,1.084,297.79514,40.417709
1173,12506770,K01577.01,Kepler-895 b,CONFIRMED,CANDIDATE,2.806242328,0,MCMC,1.34,89.95,708,59.53,1,3940,4.73,0.53,289.29065,51.40889
1176,11337372,K01650.01,Kepler-920 b,CONFIRMED,CANDIDATE,6.53192704,0,MCMC,2.57,89.38,902,156.69,1,5638,4.529,0.903,284.29694,49.15868
1177,11337833,K01651.01,Kepler-921 b,CONFIRMED,CANDIDATE,51.300634,0,MCMC,2.9,87.09,492,13.86,1,6032,4.508,0.929,284.61621,49.190811
1178,11546211,K01654.01,,CANDIDATE,CANDIDATE,1.097210884,0,MCMC,9.35,79.07,740,71.01,1,3497,4.92,0.334,283.79654,49.50399
1179,11547505,K01655.01,Kepler-922 b,CONFIRMED,CANDIDATE,0.938466832,0,MCMC,1.48,87.66,1898,3070.23,1,5902,4.439,0.989,284.73145,49.533192
1180,4471747,K01656.01,,CANDIDATE,CANDIDATE,51.3895448,0,MCMC,2.68,88.81,522,17.49,1,6084,4.42,1.025,293.62592,39.50631
1181,11502867,K00195.01,Kepler-426 b,CONFIRMED,CANDIDATE,3.217518593,0,MCMC,11.68,86.52,1200,489.84,1,5866,4.507,0.903,289.43463,49.4734
1182,9909735,K01779.01,Kepler-318 b,CONFIRMED,CANDIDATE,4.662719058,0,MCMC,5.89,89.38,1327,732.99,1,5903,4.15,1.47,298.48282,46.793621
1183,9909735,K01779.02,Kepler-318 c,CONFIRMED,CANDIDATE,11.8150013,0,MCMC,4.59,89.95,973,211.78,2,5903,4.15,1.47,298.48282,46.793621
1184,11551692,K01781.01,Kepler-411 c,CONFIRMED,CANDIDATE,7.834427877,0,MCMC,3.37,89.95,715,61.95,1,4987,4.586,0.768,287.60559,49.523258
1185,11551692,K01781.02,Kepler-411 b,CONFIRMED,CANDIDATE,3.005155704,0,MCMC,1.94,89.95,985,222.58,2,4987,4.586,0.768,287.60559,49.523258
1186,12266636,K01522.01,Kepler-879 b,CONFIRMED,CANDIDATE,33.3855938,0,MCMC,2.54,88.81,580,26.73,1,5833,4.407,1.022,295.80658,50.909801
1189,7869917,K01525.01,Kepler-880 b,CONFIRMED,CANDIDATE,7.71468975,0,MCMC,2.15,89.95,1256,588.3,1,6915,4.261,1.448,281.97125,43.672771
1190,9824805,K01526.01,Kepler-881 b,CONFIRMED,CANDIDATE,4.44448017,0,MCMC,1.65,80.21,1191,476.42,1,6210,4.45,1.033,288.99258,46.67075
1192,7939330,K01581.01,,CANDIDATE,CANDIDATE,29.5422963,0,MCMC,3.23,81.36,517,16.84,1,5514,4.566,0.808,282.43918,43.734482
1193,7939330,K01581.02,Kepler-896 b,CONFIRMED,CANDIDATE,144.547396,0,MCMC,2.6,89.95,304,2.03,2,5514,4.566,0.808,282.43918,43.734482
1194,4918309,K01582.01,,CANDIDATE,CANDIDATE,186.4359211,0,MCMC,6.64,89.38,278,1.42,1,5570,4.581,0.766,290.12857,40.021832
1195,12602568,K01583.01,Kepler-897 b,CONFIRMED,CANDIDATE,8.0472642,0,MCMC,1.95,89.38,854,125.53,1,5835,4.554,0.847,290.58685,51.69582
1196,9941066,K01584.01,Kepler-898 b,CONFIRMED,CANDIDATE,5.8706191,0,MCMC,1.38,87.66,603,31.34,1,4187,4.697,0.57,286.58539,46.87093
1197,5972334,K00191.01,Kepler-487 b,CONFIRMED,CANDIDATE,15.3587684,0,MCMC,11.31,88.81,686,52.24,1,5700,4.515,0.87,295.28723,41.221958
1198,4650733,K01659.01,,CANDIDATE,CANDIDATE,29.5391328,0,MCMC,2.74,89.95,735,68.88,1,6616,4.329,1.298,290.49316,39.785519
