"","rowid","pl_radj","pl_bmassj","pl_rade","pl_bmasse","pl_dens","pl_orbsmax","pl_eqt","st_age","pl_discmethod","cluster","density","mass_gr","radius_cm","volume_cm3"
"170",874,0.585,0.11,6.56,35,0.6,0.3046,584,3.16,"Transit",2,0.681402650682973,208800899999999995920884848008,4182282000,306428071259655150902204084264
"171",876,0.132,0.0145,1.481,4.60853,8,0.0172,2130,NA,"Transit",2,7.8185270017099,27523755000000001700848240224,943694400,3520324863491626881280846644
"172",877,0.21,0.054,2.35,17.2,7.1,NA,584,NA,"Transit",2,7.23127049806724,102502260000000000882804460602,1501332000,14174861807119037894602868200
"173",878,0.118,0.023,1.32,7.34,14.25,NA,NA,6.46,"Transit",2,17.3604327119778,43658370000000003304662244860,843605600,2514820380593284308224844466
"174",891,0.51,0.16,5.77,51.1,1.45,0.0474,1513,5.9,"Transit",2,1.49585048335079,303710400000000026048860648268,3646092000,203035265476314323264080640808
"175",892,0.112,0.01,1.25,3.78,10.5,0.0684,1413,5.9,"Transit",2,8.82723449471099,18981900000000001628860648268,800710400,2150379035628132341604240424
"176",906,0.105,0.012,1.18,3.8,13.27,NA,NA,1.41,"Transit",2,12.855591996564,22778280000000000194260666206,750666000,1771857725889879736704626400
"177",907,0.198,0.028,2.22,8.93,4.68,NA,NA,1.41,"Transit",2,4.47343562805368,53149320000000006326882406666,1415541600,11881096414284240106642046482
"178",919,0.301,0.031,3.37,9.7,1.38,NA,NA,5.7,"Transit",2,1.40974622008178,58843889999999997572202226842,2151909200,41740768062911598748668688042
"179",920,0.459,0.114,5.14,36.1,1.47,NA,NA,5.7,"Transit",2,1.46199378516795,216393660000000019440224622048,3281482800,148012708532233163626660664202
"180",946,0.117,0.01447,1.31,4.6,11.2,NA,NA,NA,"Transit",2,11.2044276765712,27466809300000000206800004682,836456400,2451424570077242238664408664
"181",959,0.223,0.033,2.5,10.44,3.28,NA,NA,4.83,"Transit",2,3.69043943589606,62640270000000000536686206284,1594271600,16973661562011407121044680080
"182",961,0.228,0.035,2.56,11.17,3.1,NA,NA,4.83,"Transit",2,3.66220149086431,66436650000000003500864400846,1630017600,18141178240938442882668684404
"183",1014,0.161,0.006,1.8,1.9,1.72,0.091,NA,8.5,"Transit",2,1.78300415009466,11389140000000000097680888608,1151021200,6387612726193234578462208482
"184",1015,0.256,0.009,2.87,2.9,0.66,0.107,NA,8.5,"Transit",2,0.665275216923165,17083710000000000146628622482,1830195200,25679161894847902632066808266
"185",1016,0.278,0.023,3.12,7.3,1.28,0.155,NA,8.5,"Transit",2,1.32761508983712,43658370000000003304662244860,1987477600,32884810013236782720004404082
"186",1017,0.374,0.025,4.19,8,0.58,0.195,NA,8.5,"Transit",2,0.592657703478224,47454750000000006278886488462,2673800800,80071092844140556792262206444
"187",1018,0.222,0.006,2.49,2,0.69,0.25,NA,8.5,"Transit",2,0.680097312662479,11389140000000000097680888608,1587122400,16746338778215755516864446402
"188",1019,0.297,0.079,3.33,25,4,0.466,NA,8.5,"Transit",2,3.73969750916657,149957009999999998352866846826,2123312400,40098700398209310908686640606
"189",1057,0.162,0.037,1.82,11.7,10.73,NA,NA,6.89,"Transit",2,10.7928318819694,70233029999999997678486442420,1158170400,6507377374916012042008400024
"190",1070,0.143,0.009,1.6,2.8,NA,NA,NA,NA,"Transit",2,3.81692062626442,17083710000000000146628622482,1022335600,4475783405724017097028868206
"191",1071,0.226,0.012,2.53,3.9,NA,NA,NA,NA,"Transit",2,1.28924263868301,22778280000000000194260666206,1615719200,17667954283042121021840666084
"192",1108,0.719,0.094,8.059,29.875,0.3,0.1445,984,5.3,"Transit",3,0.313631672630088,178429860000000007392644824044,5140274800,568915309170475745920462026024
"193",1109,1.101,1.84,12.341,584.78,1.74,0.2804,704,5.3,"Transit",4,1.70975781636824,3492669599999999983048640640084,7871269200,2042786157526627954244422660066
"194",1144,1.754,0.432,19.661,137.30256,0.11,0.0553,1480,NA,"Transit",3,0.0992827302105443,820018080000000007046402280806,12539696800,8259423147016862442444246268408
"195",1173,0.156,0.113,1.75,36,NA,NA,NA,NA,"Transit Timing Variations",2,36.9133431682129,214495470000000004768644642280,1115275200,5810784166109019291206444246
"196",1250,0.101,0.097,1.13,30.7,NA,NA,NA,NA,"Transit",2,116.757918676773,184124430000000016230404628226,722069200,1576975952352504971846028066
"197",1251,0.101,0.105,1.13,33.3,NA,NA,NA,NA,"Transit",2,126.387437742898,199309949999999992902828826042,722069200,1576975952352504971846028066
"198",1287,0.215,0.051,2.41,16.13,6,NA,NA,3.66,"Transit",2,6.36404919429435,96807689999999992032084464880,1537078000,15211650168699564572868044684
"199",1288,0.075,0.026,0.84,8.25,77.7,NA,NA,3.66,"Transit",2,76.4307796169051,49352939999999994556846264846,536190000,645720745586690836520262624
"200",1380,0.047,0.00021,0.522,0.066,2.6,NA,NA,NA,"Transit",2,2.50844424634129,398619900000000025408200602,336012400,158911205852555811578224224
"201",1381,0.107,0.0062,1.197,1.97,6.2,NA,NA,NA,"Transit",2,6.27652247357431,11768777999999999074464020028,764964400,1875047536203274494820208806
"202",1382,0.108,0.00201,1.212,0.64,2.1,NA,NA,NA,"Transit",2,1.9788073859273,3815361900000000164488260848,772113600,1928111814789929086620222246
"203",1409,1.136,8.4,12.733,2669.66,7.1,NA,NA,2.2,"Transit",5,7.10596433922436,15944795999999999995280826280462,8121491200,2243860965074927496646648288068
"204",1471,0.236,0.117,2.65,37.1,NA,NA,NA,NA,"Transit",2,11.0389708005511,222088230000000028288084626420,1687211200,20118563044746274466662422288
"205",1472,0.385,0.25,4.32,79.4,NA,NA,NA,NA,"Transit",2,5.43296055452084,474547500000000009920824228082,2752442000,87346023450349237392864882806
"206",1535,0.96,0.66,10.76,209.76,0.93,0.05714,NA,3.7,"Transit",3,0.925143215237349,1252805400000000116244084640866,6863232000,1354174553048619757608008242406
"207",1666,0.754,0.333,8.449,105.833,0.964,0.7048,NA,NA,"Transit",3,0.963405070327011,632097270000000067964602806460,5390496800,656107476977929954920400660204
"208",1727,1.059,1.51968,11.874,483,NA,2.7205,NA,4.4,"Transit",3,1.58687602714375,2884641379199999774288642008462,7571002800,1817811429410855625286022066868
"209",1744,1.31,2.45,14.68,778.65,1.35,0.02591,1570,1.78,"Transit",4,1.35154630374189,4650565500000000280004404642482,9365452000,3440922066172987185604600282464
"210",1765,0.259,0.006,2.9,2,NA,NA,NA,NA,"Transit",2,0.42828285578745,11389140000000000097680888608,1851642800,26592565745037055490668664244
"211",1766,0.633,0.024,7.1,7.5,NA,NA,NA,NA,"Transit",2,0.117348851477125,45556560000000000398420222402,4525443600,388214792275835406644628622008
"212",1772,0.178,0.022,2,6.9,4.9,0.0447,NA,10,"Transit",2,4.83772754355293,41760179999999997424046228800,1272557600,8632189312862887285886064640
"213",1773,0.49,0.054,5.49,17.3,0.59,0.0752,NA,10,"Transit",2,0.569225374483427,102502260000000000882804460602,3503108000,180073244438586291978000062208
"214",1774,0.623,0.052,6.98,16.4,0.27,0.1172,NA,10,"Transit",2,0.266696880217071,98705879999999989112682428682,4453951600,370105116788996276128606448644
"215",1799,0.197,0.064,2.209,20.3,10.4,NA,NA,1.9,"Transit",2,10.3814980625257,121484160000000006904264484204,1408392400,11701987446159063947224442868
"216",1827,0.17,0.027,1.91,8.7,6.5,0.04537,1014,8.8,"Transit",2,6.81546876476702,51251130000000000446402280806,1215364000,7519824647270901676062028624
"217",1828,0.274,0.051,3.07,16.1,2.91,0.093,713,8.8,"Transit",2,3.074660860029,96807689999999992032084464880,1958880800,31485648143674307632044646046
"218",1829,0.245,0.063,2.75,20.1,4.07,0.3453,369,8.8,"Transit",2,5.31277016184532,119585970000000009826666822802,1751554000,22509155554823286496000024406
"219",1830,0.077,0.01,0.868,3.08,NA,NA,1040,8.8,"Transit",2,27.1648027726042,18981900000000001628860648268,550488400,698768187602793917804448282
"220",1831,0.092,0.045,1.03,14.3,NA,NA,705,8.8,"Transit",2,71.6684090018518,85418549999999991936080428402,657726400,1191857768152673355148220866
"221",1857,0.146,0.01598,1.639,5.08,6.4,0.042717,2025,3.03,"Transit",2,6.36791033196755,30333076200000000728648600828,1043783200,4763427030014058036064280886
"222",1883,0.212,0.113,2.38,36,14.7,0.849,262,NA,"Transit",2,14.7078635611627,214495470000000004768644642280,1515630400,14583727208783228992802880082
"223",1895,0.267,0.02328,2.99,7.4,1.54,NA,NA,NA,"Transit",2,1.51679861567558,44189863199999999672620002826,1908836400,29133638930912244860848440884
"224",1896,0.307,0.01605,3.44,5.1,0.71,NA,NA,NA,"Transit",2,0.68792111848213,30465949499999995422820488208,2194804400,44286980994596996356424604066
"225",1897,0.467,0.02517,5.24,8,0.31,NA,NA,NA,"Transit",2,0.306486468918598,47777442300000005958842828682,3338676400,155887607268853260096042086466
"226",1898,0.41,0.0151,4.6,4.8,0.28,NA,NA,NA,"Transit",2,0.271709053050882,28662669000000000832408804686,2931172000,105490298089671858112064804868
"227",1916,0.17,0.8,1.9,254.3,NA,0.075,NA,6,"Transit",4,201.939815252356,1518552000000000200646662866824,1215364000,7519824647270901676062028624
"228",1917,0.285,2.7,3.2,858.1,NA,0.099,NA,6,"Transit",4,144.646495456309,5125113000000000079848884680862,2037522000,35431988751832883266266006826
"229",1940,0.5,0.534,5.6,169.7,NA,NA,NA,NA,"Transit",2,5.29797586786797,1013633460000000026240400266248,3574600000,191324665359019519408006844202
"230",1941,0.178,0.042,2,13.5,NA,NA,NA,NA,"Transit",2,9.23566167405559,79723980000000000680466408426,1272557600,8632189312862887285886064640
"231",1944,0.214,1.6,2.4,508.5,NA,0.08,NA,7.7,"Transit",4,202.468466889494,3037104000000000401282224622648,1529928800,15000380289626195958460604408
"232",1945,0.25,1.6,2.8,508.5,NA,0.106,NA,7.7,"Transit",4,126.992679978858,3037104000000000401282224622648,1787300000,23915583169877439936002688404
"233",1973,0.242,0.0302,2.71,9.6,2.5,NA,NA,11,"Transit",2,2.64264956799679,57325338000000001664806608262,1730106400,21692372191237750802222482040
"234",1974,0.464,0.0774,5.2,24.6,0.9,NA,NA,11,"Transit",2,0.960872470427185,146919905999999988946800264240,3317228800,152902607288438833002404686440
"235",2005,0.248,0.01611,2.78,5.12,1.26,NA,NA,NA,"Transit",2,1.30984295832861,30579840899999998414808842882,1773001600,23346188720990412334484404826
"236",2006,0.243,0.01951,2.72,6.2,1.61,NA,NA,NA,"Transit",2,1.68623143156936,37033686900000000816084280000,1737255600,21962398640341538304680266882
"237",2032,0.357,9.11,4,2895.31,NA,0.118,NA,NA,"Transit",5,248.308999696167,17292510899999999649688404282260,2552264400,69641096058375823716402488228
"238",2033,0.437,13.8,4.9,4385.87,NA,0.191,NA,NA,"Transit",1,205.075371629928,26195022000000002406842282842464,3124200400,127733631746237286864804424020
"239",2050,0.259,0.052,2.9,16.6,NA,NA,NA,NA,"Transit",2,3.7117847501579,98705879999999989112682428682,1851642800,26592565745037055490668664244
"240",2051,0.25,0.051,2.8,16.3,NA,NA,NA,NA,"Transit",2,4.04789167432609,96807689999999992032084464880,1787300000,23915583169877439936002688404
"241",2052,0.261,0.275,2.92,87.3,NA,NA,NA,NA,"Transit",2,19.1818240747685,522002250000000060160048246004,1865941200,27213379080388646332846426846
"242",2053,0.3,0.202,3.36,64.2,NA,NA,NA,NA,"Transit",2,9.2782556986868,383434380000000009122282680248,2144760000,41326127717548213536080848486
"243",2057,0.384,0.155,4.3,49.4,NA,NA,NA,NA,"Transit",2,3.39482003697417,294219449999999987866066684260,2745292800,86667171395111659840068620066
"244",2058,0.277,0.118,3.1,37.5,NA,NA,NA,NA,"Transit",2,6.88527723642428,223986420000000007786400644266,1980328400,32531212950304183132860442804
"245",2059,0.321,1.51,3.6,479.9,NA,0.062,NA,NA,"Transit",4,56.6161824079881,2866266900000000136846264864488,2294893200,50626283477488412460668062808
"246",2060,0.303,1.36,3.4,432.23,NA,0.081,NA,NA,"Transit",4,60.6303052311611,2581538400000000256642446886660,2166207600,42578350713517630940866486244
"247",2067,0.219,0.192,2.46,61,NA,NA,NA,NA,"Transit",2,22.669796203361,364452480000000003124260666206,1565674800,16076566226297452606444206822
"248",2068,0.277,0.177,3.1,56.2,NA,NA,NA,NA,"Transit",2,10.3279158546364,335979629999999958980440682246,1980328400,32531212950304183132860442804
"249",2084,0.192,0.023,2.15,7.3,4.1,0.21,NA,0.65,"Transit",2,4.02997991485966,43658370000000003304662244860,1372646400,10833396424388957480026240022
"250",2085,1.034,0.42,11.59,132,0.47,0.51,NA,0.65,"Transit",3,0.471157822378154,797239799999999971608282284068,7392272800,1692086519918014391848068440666
"251",2086,0.239,0.013,2.68,4,1.2,0.33,NA,0.65,"Transit",2,1.18094149074873,24676469999999997278428682428,1708658800,20895590673467521302448008484
"252",2087,0.299,0.01419,3.35,4.51,0.65,NA,NA,NA,"Transit",2,0.658335936065561,26935316099999999438468880442,2137610800,40914242447365984904644402628
"253",2088,0.28,0.01259,3.14,4,0.7,NA,NA,NA,"Transit",2,0.711263246645833,23898212100000003224042240808,2001776000,33599672431689578798886668482
"254",2119,0.348,0.036,3.9,11.3,1.02,0.18,NA,2,"Transit",2,1.0593598295838,68334840000000000584482488628,2487921600,64505787449810128558440204460
"255",2120,1.097,2.01,12.3,640,1.88,0.3,NA,2,"Transit",4,1.88823005680646,3815361899999999733644464862488,7842672400,2020602249311123073864486426042
"256",2121,0.785,0.073,8.8,23.1,0.19,0.5,NA,2,"Transit",3,0.187151202372888,138567869999999998258462420048,5612122000,740405983200211982400260844222
"257",2135,0.321,0.033,3.6,10.5,NA,NA,NA,NA,"Transit",2,1.23730729765802,62640270000000000536686206284,2294893200,50626283477488412460668062808
"258",2136,0.294,0.019,3.3,6,NA,NA,NA,NA,"Transit",2,0.927236120986378,36065610000000001774888884640,2101864800,38895820798734634704066646046
"259",2142,0.217,0.02341,2.43,7.44,2.62,NA,NA,NA,"Transit",2,2.8411943600375,44436627899999997360040248880,1551376400,15640122522069746131204020822
"260",2143,0.196,0.01145,2.2,3.64,1.74,NA,NA,NA,"Transit",2,1.88588846580881,21734275499999999150040820860,1401243200,11524687644069521068022066060
"261",2149,0.473,4.7,5.3,1493.7,NA,0.26,NA,NA,"Transit",4,55.0799030899358,8921493000000000721688004202220,3381571600,161973650996312942074262264000
"262",2150,0.348,6.8,3.9,2161.244,NA,0.4,NA,NA,"Transit",5,200.101301143608,12907691999999999031246426240642,2487921600,64505787449810128558440204460
"263",2173,0.196,4.1,2.2,1303,NA,0.05,NA,NA,"Transit",4,675.296306534158,7782578999999998952028262280220,1401243200,11524687644069521068022066060
"264",2174,0.178,0.5,2,158.9,NA,0.09,NA,NA,"Transit",2,109.948353262567,949095000000000019840648446064,1272557600,8632189312862887285886064640
"265",2197,0.205,0.09,2.3,28.5,NA,NA,NA,NA,"Transit",2,12.9556634567308,170837099999999983872060846804,1465586000,13186287261208982264028608626
"266",2198,0.482,0.124,5.4,39.4,NA,NA,NA,NA,"Transit",2,1.37328065458786,235375559999999990288808884268,3445914400,171396545355574255530440682486
"267",2229,0.139,0.027,1.56,8.5,NA,NA,NA,NA,"Transit Timing Variations",2,12.4680373654269,51251130000000000446402280806,993738800,4110601251654597840008808064
"268",2233,0.764,0.22,8.564,69.92,0.613,1.0896,NA,NA,"Transit",3,0.611816713572008,417601799999999991840668686006,5461988800,682560300717986073802840060260
"269",2258,0.728,0.127,8.16,40.363,0.41,0.60347,NA,NA,"Transit",3,0.408214394475483,241070129999999999120668682640,5204617600,590547842659375758764666806024
"270",2260,0.277,0.019,3.1,6.1,NA,NA,NA,NA,"Transit",2,1.10864633467849,36065610000000001774888884640,1980328400,32531212950304183132860442804
"271",2261,0.25,0.047,2.8,14.9,NA,NA,NA,NA,"Transit",2,3.73040997437894,89214930000000003696822462022,1787300000,23915583169877439936002688404
"272",2284,0.133,0.014,1.486,4.45,7.46,0.1153,978,6.8,"Transit",2,7.3799232375668,26574660000000003168446208888,950843600,3600939893889980314468200620
"273",2285,0.328,0.025,3.679,8.08,0.89,0.1283,928,6.8,"Transit",2,0.878612159337755,47454750000000006278886488462,2344937600,54011032621911990368088288824
"274",2307,0.029,0.03146,0.32,10,NA,NA,NA,5.66,"Transit",2,1599.71809145791,59717057400000002916086208240,207326800,37329738107529011964686440
"275",2308,0.067,0.03776,0.75,12,NA,NA,NA,5.66,"Transit",2,155.69917424086,71675654400000009172240008280,478996400,460347042618998265088062020
"276",2309,0.173,0.03839,1.94,12.2,NA,NA,NA,5.66,"Transit",2,9.19514399167962,72871514100000005400604286840,1236811600,7924999778789651118480428466
"277",2333,0.384,0.384,4.3,122,NA,0.4632,475,10,"Transit",2,8.41039286579408,728904960000000006248420222402,2745292800,86667171395111659840068620066
"278",2354,1.24,20.1,13.9,6388.1,13,0.164,897,2.1,"Transit",1,13.0740377218647,38153619000000004092684420242604,8865008000,2918273590123801493444068662026
"279",2367,0.312,0.238,3.5,75.5,NA,NA,NA,NA,"Transit",2,9.71833592260472,451769219999999974528084664404,2230550400,46486273328872154338608222628
"280",2368,0.473,0.056,5.3,17.9,NA,NA,NA,NA,"Transit",2,0.656271185752427,106298640000000012642664802222,3381571600,161973650996312942074262264000
"281",2377,0.357,0.077,4.002,24.472,1.91,0.0456,1650,4.5,"Transit",2,2.09876981082381,146160630000000004186620820262,2552264400,69641096058375823716402488228
"282",2378,1.17,2.2,13.11,699.2,1.68,0.08,1620,2.8,"Transit",4,1.70350662670743,4176018000000000481280024628002,8364564000,2451424570077241207206602042682
"283",2395,0.128,0.02,1.43,6.35,11.82,NA,NA,5.84,"Transit",2,11.8271149675229,37963800000000003256620286426,915097600,3209895236855987829022606422
"284",2396,0.076,0.009,0.85,2.71,24.39,NA,NA,5.84,"Transit",2,25.4261417794294,17083710000000000146628622482,543339200,671895490405127580322622840
"285",2401,1.29,0.56,14.46,177.98,0.33,0.03101,1790,4.4,"Transit",3,0.323517388235733,1062986400000000056000864400846,9222468000,3285716436439105279046080066246
"286",2405,1.341,0.941,15.031,299.07803,0.52,0.02897,1850,NA,"Transit",3,0.483929415780337,1786196790000000053446440802446,9587077200,3691027517142669396480640000002
"287",2406,0.388,0.211,4.347,67,3.2,0.3553,NA,NA,"Transit",2,4.47987617618643,400518089999999965322088660800,2773889600,89403830429292749546080842086
"288",2407,0.153,0.011,1.71,3.5,NA,NA,NA,NA,"Transit Timing Variations",2,3.80887854556913,20880089999999998712028664400,1093827600,5481952167860486930462000226
"289",2408,0.269,0.094,3.01,29.9,NA,NA,NA,NA,"Transit Timing Variations",2,5.98893701028553,178429860000000007392644824044,1923134800,29793243724814718438406826048
"290",2409,0.108,0.377,1.21,119.9,NA,NA,NA,NA,"Transit Timing Variations",2,371.149445022185,715617630000000079404242420466,772113600,1928111814789929086620222246
"291",2411,0.221,0.183,2.48,58.2,NA,NA,NA,NA,"Transit Timing Variations",2,21.0258228215642,347368769999999976586080680080,1579973200,16521054750054171304086068608
"292",2413,0.206,0.035,2.31,11,NA,NA,NA,NA,"Transit Timing Variations",2,4.96529567365049,66436650000000003500864400846,1472735200,13380200166640976902404628420
"293",2415,1.2,1.1,13.45,349.6,NA,NA,NA,7,"Transit",3,0.789455543669204,2088009000000000240640062864006,8579040000,2644872173923085666404020262624
"294",2416,0.96,2.5,10.8,794.5,NA,0.37,NA,NA,"Transit",4,3.50433036074753,4745475000000000240008660684628,6863232000,1354174553048619757608008242406
"295",2421,0.94,1.45,10.54,460.83,2.1,0.382,511,9.3,"Transit",3,2.16502628404457,2752375499999999959040004846048,6720248000,1271289646820446771860442460424
"296",2423,1.15,0.43,12.89,136.66,0.38,0.082,NA,NA,"Transit",3,0.350633709463282,816221700000000048000628444264,8221580000,2327847203423189328640206008862
"297",2424,1.192,0.595,13.361,189.101,0.459,0.03585,1605,11,"Transit",3,0.435679305056539,1129423049999999971520846482262,8521846400,2592326596401984002088084020084
"298",2425,0.89,1.03,9.98,327.35,1.94,0.044,NA,NA,"Transit",3,1.8119488617671,1955135700000000128268884226248,6362788000,1079023664107860890806806800402
"299",2427,0.978,0.25,10.962,79.45,0.27,0.0464,1070,5,"Transit",3,0.331437905692064,474547500000000009920824228082,6991917600,1431784029075109878322442288442
"300",2428,1.09,0.34,12.22,108.06,0.26,0.0414,1300,6,"Transit",3,0.32559532083243,645384600000000064168664224440,7792628000,1982167920441805650460448200046
"301",2429,1.23,0.29,13.79,92.17,0.16,0.091,1100,7,"Transit",3,0.193268642101437,550475099999999963648088220406,8793516000,2848238048421140116264200466808
"302",2430,1.08,1.27,12.11,403.63,1.02,0.0433,1070,5,"Transit",3,1.25029123389436,2410701299999999991206686826400,7721136000,1928111814789929913642800226022
"303",2431,1.219,3.23,13.664,1026.5909,5,0.046,1620,NA,"Transit",4,2.21141442023547,6131153700000000328082606266464,8714874800,2772503264832274097866208442848
"304",2437,1.145,5.41,12.834,1719.4603,4.46,0.301,NA,4.2,"Transit",5,4.46950612556262,10269207900000000375244622206088,8185834000,2297615801725146344844806882662
"305",2439,1.45,2.82,16.25,896.24,1.13,0.0679,1776,2.67,"Transit",4,1.14715957225971,5352895799999999307882800602468,10366340000,4666217263441126297284486202480
"306",2440,1.13,2.86,12.67,908.96,2.4,0.1143,1000,4,"Transit",4,2.45815596442227,5428823400000000175264806604804,8078596000,2208494285380264261288402628082
"307",2441,1.99,0.84,22.31,266.97,0.131,0.0948,1729,2.25,"Transit",3,0.132190056612647,1594479599999999943206464468026,14226908000,12062023732028986433882820666468
"308",2447,1.09,1,12.22,317.82,0.93,0.0446,1544,5.8,"Transit",3,0.95763329656597,1898190000000000039680286882028,7792628000,1982167920441805650460448200046
"309",2463,1.65,1.37,18.49,435.41,0.4,0.0769,NA,NA,"Transit",3,0.378222591729613,2600520300000000473866440686844,11796180000,6875634499007083844888880084026
"310",2466,0.96,0.505,10.76,160.497,0.8,0.03,1000,0.5,"Transit",3,0.707874732871002,958585949999999987788682402428,6863232000,1354174553048619757608008242406
"311",2471,0.553,0.00063,6.204,0.2,NA,0.7903,NA,2.49,"Transit",2,0.00462002033691286,1195859700000000076260602866,3953507600,258842951500746854384426080688
"312",2472,0.211,0.02152,2.37,6.84,2.76,0.0954,NA,5.25,"Transit",2,2.8410156942612,40849048799999999880486460682,1508481200,14378325639845754416048880002
"313",2475,0.808,6,9.057,1907,14,0.1968,543,9.7,"Transit",5,14.1057408195199,11389139999999999675282640246666,5776553600,807411687604482545526682046022
"314",2488,0.27,2,3.03,636,NA,0.2962,NA,NA,"Transit",4,126.013604675967,3796380000000000079260462664046,1930284000,30126747106092654998200884088
"315",2489,0.411,28,4.62,8899,NA,0.991,NA,NA,"Transit",1,500.162696184819,53149320000000004498646082640466,2938321200,106264062484900737680860020068
"316",2500,0.168,0.0124,1.88,3.94,3.23,NA,NA,3.14,"Transit",2,3.243191340279,23537555999999998148828040046,1201065600,7257529245244946962020442488
"317",2501,0.242,0.04597,2.71,14.61,4.01,NA,NA,3.14,"Transit",2,4.02260267022558,87259794299999987520064866002,1730106400,21692372191237750802222482040
"318",2502,0.182,0.025,2.04,7.93,5.08,NA,NA,3.14,"Transit",2,5.14285851307695,47454750000000006278886488462,1301154400,9227310041552746231444204086
"319",2515,0.243,0.98,2.72,311.46,NA,NA,NA,NA,"Transit",4,84.7005024570973,1860226199999999886888004420626,1737255600,21962398640341538304680266882
"320",2516,0.227,0.72,2.55,228.83,NA,NA,NA,NA,"Transit",4,76.336748324462,1366696799999999870966080428402,1622868400,17903523925213405724268042842
"321",2529,1.426,2.111,15.984,670.93913,0.4,0.0538,1750,NA,"Transit",4,0.902835003280836,4007079090000000688008004444866,10194759200,4438329346379536536842880000666
"322",2542,0.633,0.007,7.1,2.1,0.03,0.2514,543,0.3,"Transit",2,0.0342267483474948,13287330000000001589228604444,4525443600,388214792275835406644628622008
"323",2543,0.803,0.013,9,4,0.03,0.384,439,0.3,"Transit",3,0.0311369054727794,24676469999999997278428682428,5740807600,792515172118589137846840606620
"324",2544,0.865,0.024,9.7,7.6,0.046,0.509,381,0.3,"Transit",3,0.0459876959208775,45556560000000000398420222402,6184058000,990624972348706196244208246244
"325",2555,0.187,8.7,2.1,2765,NA,NA,NA,NA,"Transit",5,1649.95904648338,16514252999999999754640042406668,1336900400,10008886605517569599424402888
"326",2556,0.164,10.41,1.84,3308.41,NA,NA,NA,NA,"Transit",5,2926.83282518593,19760157900000000854446802626464,1172468800,6751379077738998796066466648
"327",2571,0.258,18.41,2.89,5851,NA,NA,NA,NA,"Transit",1,1329.45426728122,34945677900000001172286444868628,1844493600,26285731491512841564860842640
"328",2572,0.283,15.74,3.17,5002.43,NA,NA,NA,NA,"Transit",1,861.239922493809,29877510599999999492226068868460,2023223600,34691274544596782972848080848
"329",2583,0.747,0.97,8.373,308.2951,2.9,0.4988,388,NA,"Transit",3,2.88594905660988,1841244299999999951202686808808,5340452400,638003049909310892002006004660
"330",2585,0.187,0.92,2.1,292.39,NA,NA,NA,NA,"Transit",4,174.478427903989,1746334799999999991524820820042,1336900400,10008886605517569599424402888
"331",2586,0.11,0.37,1.23,117.59,NA,NA,NA,NA,"Transit",2,344.74851198712,702330300000000011880406280242,786412000,2037225036742839683840282668
"332",2599,0.217,1.49,2.43,473.55,NA,NA,NA,NA,"Transit",4,180.836377465009,2828303100000000264648608626842,1551376400,15640122522069746131204020822
"333",2600,0.197,1.11,2.21,352.78,NA,NA,NA,NA,"Transit",4,180.05410702193,2106990900000000176426840288264,1408392400,11701987446159063947224442868
"334",2615,0.581,0.07,6.51,22.1,0.442,0.1028,NA,3.5,"Transit",2,0.4426376735259,132873300000000007000628800682,4153685200,300185248448413678964440044868
"335",2616,0.874,0.57,9.8,181,1.06,0.1652,NA,3.5,"Transit",3,1.05881306004582,1081968299999999991686268428064,6248400800,1021869053969898294982402262060
"336",2629,0.195,18.86,2.19,5994.02,NA,NA,NA,NA,"Transit",1,3154.39870709803,35799863399999999684228284860468,1394094000,11349187824431676654648000286
"337",2630,0.138,6.95,1.55,2208.83,NA,NA,NA,NA,"Transit",5,3279.64077407651,13192420500000000036044808264224,986589600,4022519967515273879240448808
"338",2641,0.248,1.39,2.78,441.77,NA,NA,NA,NA,"Transit",4,113.01562458577,2638484099999999782084804868608,1773001600,23346188720990412334484404826
"339",2642,0.255,2.19,2.86,696.02,NA,NA,NA,NA,"Transit",4,163.795627926911,4157036100000000264022080682608,1823046000,25379408184539290408060280606
"340",2654,0.098,2.05,1.1,651.52,NA,NA,NA,NA,"Transit",4,2701.18522613663,3891289499999999476064686640660,700621600,1440585955508690133544022020
"341",2655,0.177,1.37,1.98,435.41,NA,NA,NA,NA,"Transit",4,306.393466221057,2600520300000000473866440686844,1265408400,8487518784502332204062246200
"342",2666,1.304,0.668,14.617,212.31044,0.4,0.04852,1460,NA,"Transit",3,0.373613379191379,1267990920000000092968888448262,9322556800,3393858439289150383886402480044
"343",2667,0.153,0.01318,1.71,4.19,4.62,NA,NA,NA,"Transit",2,4.56372902096374,25018144200000001856008200246,1093827600,5481952167860486930462000226
"344",2668,0.17,0.01211,1.9,3.85,3.06,NA,NA,NA,"Transit",2,3.05686395338254,22987080899999996884204284262,1215364000,7519824647270901676062028624
"345",2669,0.178,0.01309,1.99,4.16,2.91,NA,NA,NA,"Transit",2,2.87844788841399,24847307099999997368020600060,1272557600,8632189312862887285886064640
"346",2697,0.117,0.03,1.31,9,NA,0.0553,750,7,"Transit",2,23.2296358187377,56945700000000000488404448040,836456400,2451424570077242238664408664
"347",2698,0.048,0.013,0.54,4,NA,0.0929,578,7,"Transit",2,145.780143007097,24676469999999997278428682428,343161600,169271819131077460634860088
"348",2699,0.174,0.044,1.95,14,NA,0.12,510,7,"Transit",2,10.358185000375,83520359999999994858082446600,1243960800,8063223431226266068880408820
