"","rowid","pl_radj","pl_bmassj","pl_rade","pl_bmasse","pl_dens","pl_orbsmax","pl_eqt","st_age","pl_discmethod","cluster","density","mass_gr","radius_cm","volume_cm3"
"40",147,3,20,33.6,6356,NA,100,2650,0.001,"Imaging",1,0.918639178087802,37963800000000001920004880842864,21447600000,41326127717548200448000824224826
"41",149,1.265,11.3,14.179,3591.3,NA,2000,1050,0.1,"Imaging",5,6.92286079173743,21449547000000002166866844466286,9043738000,3098364627756266441286448000460
"42",150,1.319,0.525,14.785,166.86075,0.282,0.05561,1322,NA,"Transit",3,0.283728948466346,996549749999999999780826280462,9429794800,3512330184800310390408462820664
"43",151,0.422,0.081,4.73,25.743,1.33,0.053,878,6.5,"Transit",2,1.33667676135663,153753390000000010112088288446,3016962400,115026605118766035338024440006
"44",152,0.959,0.211,10.749,67.059,0.3192,0.0384,963,2.5,"Transit",3,0.296691678484476,400518089999999965322088660800,6856082800,1349947164160035370262806600408
"45",153,1.272,0.851,14.258,270.462,NA,NA,NA,5,"Transit",3,0.512798750022512,1615359690000000069544666828642,9093782400,3150085077097177761486406808884
"46",155,1.15,2.232,12.89,709.367,1.82,0.0606,1570,1.3,"Transit",4,1.82003358028383,4236760080000000388066220446606,8221580000,2327847203423189328640206008862
"47",156,1.072,1.946,12.016,618.471,1.96,0.0964,904,6.8,"Transit",4,1.95901252017725,3693877739999999920008082646080,7663942400,1885581486567416893864288062020
"48",157,1.289,4.193,14.448,1332.605,2.42,0.0413,1626,2,"Transit",4,2.427978530142,7959110669999998945888486264646,9215318800,3278081157305173351880646662666
"49",158,1.01,0.534,11.321,169.71,0.64,0.0882,792,7.8,"Transit",3,0.642770397663883,1013633460000000026240400266248,7220692000,1576975952352504857442204440086
"50",160,0.995,0.197,11.153,62.61,0.25,0.0559,852,12.4,"Transit",3,0.248013725263728,373943430000000041322468244804,7113454000,1507752966503623304164640222826
"51",161,1.132,0.292,12.689,92.802,0.25,0.0466,1010,8.8,"Transit",3,0.249644672578018,554271479999999993002648680062,8092894400,2220241570854194110248262020262
"52",162,1.157,9.09,12.969,2888.95,7.29,0.06878,1540,2.6,"Transit",5,7.278510923308,17254547099999999215462486204462,8271624400,2370614990044970209220002282864
"53",163,0.867,7.246,9.718,2302.899,13.78,0.0361,970,6.7,"Transit",5,13.7885871697026,13754284740000000158420662402842,6198356400,997512259285132295848404066284
"54",164,1.024,4.063,11.478,1291.289,4.68,0.0494,1283,10.2,"Transit",4,4.69273126103961,7712345969999999500066006686046,7320780800,1643466361270265768588044202844
"55",165,1.08,2.147,12.106,682.352,2.11,0.0414,1283,12.4,"Transit",4,2.11368132218204,4075413929999999668464044844806,7721136000,1928111814789929913642800226022
"56",166,1.224,2.07,13.72,658,1.406,0.02302,1951,2.1,"Transit",4,1.39992517566195,3929253299999999910400664626828,8750620800,2806759509944569308486824000442
"57",167,1.242,0.685,13.922,217.704,0.44,0.0465,1637,2.8,"Transit",3,0.443409012097465,1300260150000000236988220848422,8879306400,2932417056318633460480260642488
"58",168,1.19,0.567,13.339,180.202,0.42,0.0466,1202,3.2,"Transit",3,0.417273597842879,1076273729999999982804808402842,8507548000,2579299854013919235468802088486
"59",169,0.565,0.059,6.333,18.751,0.4,0.0479,1001,9,"Transit",2,0.40568168363892,111993210000000003898200822688,4039298000,276061785672533032666804246064
"60",170,1.02,0.62,11.43,197.05,NA,0.04,NA,4.4,"Transit",3,0.724552577873037,1176877799999999951444044426840,7292184000,1624282123810514586182040820404
"61",171,1.212,0.626,13.585,198.953,0.44,0.0434,1384,6.1,"Transit",3,0.436058950766393,1188266939999999969122268482404,8664830400,2725014445665128380260244624866
"62",172,1.107,0.778,12.408,247.261,0.71,0.0667,1260,2.2,"Transit",3,0.711238841847206,1476791819999999948160228468642,7914164400,2076365537299011253028404640684
"63",173,0.827,0.591,9.27,187.83,1.29,0.03866,NA,1.6,"Transit",3,1.29583493458567,1121830289999999912802620262020,5912388400,865720054351439573528246068060
"64",174,1.34,0.711,15.02,225.968,0.37,0.0419,1630,1,"Transit",3,0.366466210557638,1349613089999999844402020448606,9579928000,3682776340951985975662840604248
"65",175,1.07,2.171,11.99,689.98,2.18,0.055,1450,NA,"Transit",4,2.19779520808546,4120970489999999739206824808842,7649644000,1875047536203274274886022642800
"66",177,1.686,0.762,18.898,242.176,0.2,0.0499,1782,NA,"Transit",3,0.197179150950873,1446420779999999994822620484240,12053551200,7335566529345568099648800686246
"67",178,1.197,3.328,13.417,1057.694,2.4,0.0677,1520,NA,"Transit",4,2.40646526892243,6317176319999999303248428682428,8557592400,2625085182645795210024200642208
"68",179,1.332,1.054,14.93,334.979,0.55,0.0498,1581,NA,"Transit",3,0.55310383298322,2000692260000000198882864228424,9522734400,3617209176094602998086842224086
"69",180,1.264,1.832,14.168,582.24,1.12,0.0238,1823,NA,"Transit",4,1.12502708768445,3477484080000000147084424686426,9036588800,3091022534539529416202688628080
