"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"846",846,"KIC 10001893","b","Orbital Brightness Modulation",3,0.2197,NA,NA,NA,0,1,0,"19h09m33.41s",287.389188,"+46d59m04.2s",46.984489,NA,27500,NA,NA,"14/10/3","KIC 10001893 b",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A.130S target=ref>Silvotti et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A.130S target=ref>Silvotti et al. 2014</a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.1592792,77.730385,16.585913,303.635478,68.402799,NA,25,NA,"",NA
"847",847,"KIC 10001893","c","Orbital Brightness Modulation",3,0.32528,NA,NA,NA,0,1,0,"19h09m33.41s",287.389188,"+46d59m04.2s",46.984489,NA,27500,NA,NA,"14/10/3","KIC 10001893 c",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A.130S target=ref>Silvotti et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A.130S target=ref>Silvotti et al. 2014</a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.1592792,77.730385,16.585913,303.635478,68.402799,NA,25,NA,"",NA
"848",848,"KIC 10001893","d","Orbital Brightness Modulation",3,0.81161,NA,NA,NA,0,1,0,"19h09m33.41s",287.389188,"+46d59m04.2s",46.984489,NA,27500,NA,NA,"14/10/3","KIC 10001893 d",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A.130S target=ref>Silvotti et al. 2014</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...570A.130S target=ref>Silvotti et al. 2014</a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.1592792,77.730385,16.585913,303.635478,68.402799,NA,25,NA,"",NA
"869",869,"KOI-55","b","Orbital Brightness Modulation",2,0.240104,0.006,NA,65,0,1,0,"19h45m25.47s",296.356105,"+41d05m33.9s",41.092755,1180,27730,0.5,0.2,"14/5/14","KOI-55 b",NA,NA,NA,"Mass",0.0014,0.44,NA,0.068,0.759,0.007,"<a href=http://adsabs.harvard.edu/abs/2011Natur.480..496C target=ref> Charpinet et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011Natur.480..496C target=ref> Charpinet et al. 2011 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.75707368,75.161148,8.231243,313.052856,60.652598,NA,NA,1,"B",NA
"870",870,"KOI-55","c","Orbital Brightness Modulation",2,0.342887,0.0076,NA,65,0,1,0,"19h45m25.47s",296.356105,"+41d05m33.9s",41.092755,1180,27730,0.5,0.2,"14/5/14","KOI-55 c",NA,NA,NA,"Mass",0.0021,0.655,NA,0.077,0.867,0.008,"<a href=http://adsabs.harvard.edu/abs/2011Natur.480..496C target=ref> Charpinet et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011Natur.480..496C target=ref> Charpinet et al. 2011 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.75707368,75.161148,8.231243,313.052856,60.652598,NA,NA,1,"B",NA
"2866",2866,"Kepler-76","b","Orbital Brightness Modulation",1,1.5449298,0.0274,NA,77.55,0,1,0,"19h36m46.11s",294.192118,"+39d37m08.4s",39.619003,NA,6409,1.2,1.32,"15/10/15","Kepler-76 b",306,2140,NA,"Mass",2.01,638.8383,1.1,1.36,15.244,0.14,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...771...26F target=ref> Faigler et al. 2013 </a>","Space","Kepler","0.95 m Kepler Telescope","Kepler CCD Array",19.61280787,73.055885,8.97813,308.914023,59.832284,NA,NA,3,"F",NA
