rowid,epic_candname,pl_name,k2c_disp,ra_str,ra,dec_str,dec,pl_orbper,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,st_teff,st_logg,st_metfe,st_rad
27,EPIC 201295312.01,K2-44 b,CONFIRMED,11h36m02.79s,174.01163,-02d31m15.2s,-2.520881,5.65688,,,1.56,2.72,0.243,5912,4.1,,1.58
31,EPIC 201324549.01,,CANDIDATE,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51881781,,,,,,,,,
36,EPIC 201338508.02,K2-5 b,CONFIRMED,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,5.73597,,,2.97,1.5,0.134,4021,4.82,,0.46
37,EPIC 201338508.01,K2-5 c,CONFIRMED,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,10.9324,,,3.24,1.64,0.146,4021,4.82,,0.46
38,EPIC 201345483.01,K2-45 b,CONFIRMED,11h18m31.89s,169.632879,-01d46m26.9s,-1.77413,1.7292684,,,13.76,6.71,0.599,4103,4.82,,0.45
40,EPIC 201367065.02,K2-3 c,CONFIRMED,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,24.6435,,,2.88,1.18,0.105,3841,4.91,,0.37
43,EPIC 201367065.03,K2-3 d,CONFIRMED,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,44.5609,,,2.35,0.96,0.086,3841,4.91,,0.37
44,EPIC 201367065.01,K2-3 b,CONFIRMED,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,10.05176778,,,,,,,,,
49,EPIC 201384232.01,K2-6 b,CONFIRMED,11h52m46.14s,178.19226,-01d11m54.5s,-1.198477,30.9349,,,2.2,2.5,0.22,5767,4.4,,1.01
52,EPIC 201393098.01,K2-7 b,CONFIRMED,11h08m22.51s,167.093771,-01d03m56.7s,-1.065755,28.6777,,,1.77,4.12,0.368,5715,3.82,,2.13
56,EPIC 201403446.01,K2-46 b,CONFIRMED,11h37m03.92s,174.266344,-00d54m26.1s,-0.907261,19.1541,,,1.45,2.05,0.183,6256,4.2,,1.29
57,EPIC 201407812.01,,CANDIDATE,11h36m10.59s,174.044145,-00d50m26.5s,-0.840699,2.8268121,,,0.456,40.1,3.577,5736,,,0.98
58,EPIC 201441872.01,,CANDIDATE,11h34m24.10s,173.600412,-00d20m04.5s,-0.334585,4.4416421,,,0.01089,1.17,0.104,5547,,,0.9
59,EPIC 201445392.01,K2-8 b,CONFIRMED,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,10.35848367,,,,,,,,,
61,EPIC 201445392.02,K2-8 c,CONFIRMED,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,5.06408,,,2.79,2.44,0.218,5147,4.56,,0.8
66,EPIC 201460826.01,,CANDIDATE,11h27m44.08s,171.933667,-00d03m46.2s,-0.06284,17.355681,,,0.01418,1.81,0.161,5894,,,1.06
67,EPIC 201465501.01,K2-9 b,CONFIRMED,11h45m03.47s,176.264468,+00d00m19.1s,0.005301,18.4474,,,11,5.6,0.5,4052,4.82,,0.47
70,EPIC 201488365.01,,CANDIDATE,,,,,3.3643115,,,0.6248,85.6,7.637,6240,,,1.32
71,EPIC 201497682.01,,CANDIDATE,11h15m44.79s,168.936641,+00d29m17.2s,0.488114,13.837814,,,0.02306,1.96,0.175,4535,,,0.7
72,EPIC 201497682.02,,CANDIDATE,11h15m44.79s,168.936641,+00d29m17.2s,0.488114,7.7991586,,,0.01829,1.57,0.14,4535,,,0.7
