"variable","mean","sd","min","max"
"pl_bmassj",2.62788963265306,4.26684340536678,0.00006,30
"pl_bmasse",834.936051134694,1355.55711355237,0.02,9534.9
"pl_dens",2.31317669902913,5.14888384060843,0.02,77.7
"pl_radj",0.352602122986823,0.402803348692557,0.029,6.9
"pl_rade",3.95080600292826,4.51249794705175,0.32,77.342
