rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_rvamp,pl_eqt,pl_insol,pl_bmassprov,pl_bmassj,pl_bmasse,pl_dens,pl_radj,pl_rade,pl_rads,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_radv,st_sp,st_spstr,st_age
11,2MASS J02192210-3925225,b,Imaging,1,,156,,,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,3064,0.11,0.28,15/5/14,2MASS J02192210-3925225 b,,,,Mass,13.9,4417.837,,1.44,16.141,0.148,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,2.32280707,252.453768,-67.984453,13.508497,-49.30478,,10.6,6.6,M6,0.035
12,2MASS J04414489+2301513,b,Imaging,1,,15,,,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,0.02,,14/5/14,2MASS J04414489+2301513 b,,,,Mass,7.5,2383.6,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>,2010,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,4.69580487,176.510593,-15.114249,72.050227,0.80244,,,6.85,M8.5,0.001
13,2MASS J12073346-3932539,b,Imaging,1,,46,,,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,,0.02,,14/5/14,2MASS J12073346-3932539 b,,1150,,Mass,4,1271,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...477L...1D target=ref> Ducourant et al. 2008 </a>,2004,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...425L..29C target=ref> Chauvin et al. 2004 </a>,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,12.12596313,293.790363,22.543297,199.743654,-35.034839,,,6.8,M8,0.008
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,0.92,,,0,1,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,,0.48,,15/6/4,2MASS J19383260+4603591 b,,,,Mass,1.9,603.877,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.642391,79.018713,11.674389,314.709288,65.725374,,,,,
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,,0.26,46.2,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,2300,0.08,0.12,14/5/14,2MASS J21402931+1625183 A b,,2075,,Mass,20.95,6657.48,,0.92,10.31,0.09,<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>,2009,<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,21.6748106,70.485103,-26.437255,333.590507,28.526095,,13,6.85,M8.5,
16,2MASS J22362452+4751425,b,Imaging,1,,230,,,0,0,0,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,4045,0.6,,16/11/10,2MASS J22362452+4751425 b,,,,Mass,12.5,3972.875,,,,,<a href=http://adsabs.harvard.edu/abs/2016arXiv161100364B target=ref>Bowler et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016arXiv161100364B target=ref>Bowler et al. 2016</a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,22.60681356,100.748288,-9.108906,6.858823,50.853569,,-21.5,5.7,K7 V,0.12
17,30 Ari B,b,Radial Velocity,1,335.1,0.995,0.289,,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,6300,1.16,1.13,14/5/14,30 Ari B b,272,,,Msini,9.88,3140.03,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>,2009,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,2.61603902,151.476148,-32.309491,44.567804,8.854811,25.36,17.2,3.6,F6 V,0.91
18,4 UMa,b,Radial Velocity,1,269.3,0.87,0.432,,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4415,1.23,18.11,14/5/14,4 UMa b,215.55,,,Msini,7.1,2256.5,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>,2006,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8.67022705,151.358914,35.9569,112.813312,44.028066,12.92,,5.1,K1 III,4.604
19,42 Dra,b,Radial Velocity,1,479.1,1.19,0.38,,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4200,0.98,22.03,14/5/14,42 Dra b,110.5,,,Msini,3.88,1233.13,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>,2008,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,18.43309326,95.419171,27.125611,342.26709,87.183386,10.28,,5.15,K1.5 III,9.49
20,47 UMa,b,Radial Velocity,3,1078,2.1,0.032,,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5892,1.03,1.23,14/5/14,47 UMa b,48.4,,,Msini,2.53,804.08,,,,,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,1996,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996ApJ...464L.153B target=ref> Butler & Marcy 1996 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,10.99110413,175.782531,63.369127,149.069855,31.061608,71.04,11.1,4,G0 V,7.3
