"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"3239",3239,"PSR B1257+12","b","Pulsar Timing",3,25.262,0.19,0,NA,0,0,0,"13h00m03.58s",195.014903,"+12d40m56.5s",12.682353,600,NA,NA,NA,"15/4/30","PSR B1257+12 b",NA,NA,NA,"Mass",0.00006,0.02,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...591L.147K target=ref> Konacki and Wolszczan 2003 </a>",1994,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1994Sci...264..538W target=ref>Wolszczan 1994</a>","Ground","Arecibo Observatory","305 m Arecibo Radio Telescope","Arecibo Radio Reciever",13.00099353,311.30969,75.413648,188.722087,17.575802,NA,NA,NA,"",3
"3240",3240,"PSR B1257+12","c","Pulsar Timing",3,66.5419,0.36,0.0186,NA,0,0,0,"13h00m03.58s",195.014903,"+12d40m56.5s",12.682353,600,NA,NA,NA,"15/4/30","PSR B1257+12 c",NA,NA,NA,"Mass",0.01353,4.3,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...591L.147K target=ref> Konacki and Wolszczan 2003 </a>",1992,"<a href=http://adsabs.harvard.edu/abs/1992Natur.355..145W target=ref> Wolszczan et al. 1992 </a>","Ground","Arecibo Observatory","305 m Arecibo Radio Telescope","Arecibo Radio Reciever",13.00099353,311.30969,75.413648,188.722087,17.575802,NA,NA,NA,"",3
"3241",3241,"PSR B1257+12","d","Pulsar Timing",3,98.2114,0.46,NA,NA,0,0,0,"13h00m03.58s",195.014903,"+12d40m56.5s",12.682353,600,NA,NA,NA,"15/4/30","PSR B1257+12 d",NA,NA,NA,"Mass",0.01227,3.9,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...591L.147K target=ref> Konacki and Wolszczan 2003 </a>",1992,"<a href=http://adsabs.harvard.edu/abs/1992Natur.355..145W target=ref> Wolszczan et al. 1992 </a>","Ground","Arecibo Observatory","305 m Arecibo Radio Telescope","Arecibo Radio Reciever",13.00099353,311.30969,75.413648,188.722087,17.575802,NA,NA,NA,"",3
"3242",3242,"PSR B1620-26","b","Pulsar Timing",1,NA,23,NA,NA,0,0,0,"16h23m38.22s",245.909262,"-26d31m53.7s",-26.531594,NA,NA,1.35,NA,"15/4/30","PSR B1620-26 b",NA,NA,NA,"Mass",2.5,794.575,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2003Sci...301..193S target=ref> Sigurdsson et al. 2003 </a>",2003,"<a href=http://adsabs.harvard.edu/abs/2003Sci...301..193S target=ref> Sigurdsson et al. 2003 </a>","Space","Hubble Space Telescope","2.4 m Hubble Space Telescope","WFPC2 Camera",16.39395078,350.976229,15.960031,248.498773,-4.87271,NA,NA,NA,"",NA
"3243",3243,"PSR J1719-1438","b","Pulsar Timing",1,0.09070629,0.0044,0.06,NA,0,0,0,"17h19m10.07s",259.791971,"-14d38m01.0s",-14.6336,1200,4500,1.4,0.04,"14/5/14","PSR J1719-1438 b",NA,NA,NA,"Mass",1.2,382.8,23,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011Sci...333.1717B target=ref> Bailes et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011Sci...333.1717B target=ref> Bailes et al. 2011 </a>","Ground","Parkes Observatory","64 m Parkes Radio Telescope","Parkes Radio Receiver",17.31946472,8.858437,12.838429,260.016951,8.452634,NA,NA,NA,"",12.5
